term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.40946854221212864,0.05928584463848021,6.906683116501608,5.589799091772092e-12,0.40946854221212864,0.2932682867207074,0.5256687977035499
profile1,-0.37167250316207845,0.08205967736130393,-4.529295204581738,6.05757744712781e-6,-0.1388349535776615,-0.2996719212058172,0.02200201405049418
profile3,-0.1882087762253464,0.1146312636244758,-1.6418625275030163,0.10068221385830221,-0.04848942095103769,-0.2731666976550102,0.17618785575293486
surveyyear2006,0.02158050974300032,0.05206745452749093,0.4144721484628386,0.6785463746169718,0.009401580729455284,-0.09265063014442694,0.1114537916033375
surveyyear2010,0.06710725931158787,0.05516621850316642,1.2164556703798006,0.22386956477237535,0.027995956197207114,-0.08012983206899907,0.1361217444634133
surveyyear2014,0.1670571384002284,0.05791915792443279,2.8843157322519795,0.003939634190224652,0.061973788241364944,-0.051547761290523325,0.1754953377732532
surveyyear2018,0.02390585424369092,0.052231044979186396,0.45769435118935853,0.6471921965163083,0.009513911765867354,-0.09285893639333798,0.11188675992507269
age,-0.08121989829598099,0.015462807988828993,-5.2525969639316346,1.5627199618453057e-7,-0.08149994546165719,-0.11180704911976201,-0.051192841803552366
sex,-0.2626464139707894,0.027781714165975756,-9.453931186595112,4.911329605458151e-21,-0.13145606160092413,-0.1859082213662366,-0.07700390183561165
fas,0.08014584827219405,0.013962765134467217,5.739969662194866,1.0035152394517517e-8,0.08007741511188822,0.052710395448332475,0.10744443477544396
profile1:surveyyear2006,0.03879639364868407,0.11261024204335103,0.34451922795573786,0.7304705184663791,0.00721119604340341,-0.2135048783615646,0.22792727044837144
profile3:surveyyear2006,4.4083119267669506e-4,0.15054106996614733,0.0029283118073747333,0.9976636669178083,6.464184064509414e-5,-0.29499585529300365,0.2951251389742938
profile1:surveyyear2010,0.14445671974264054,0.10569232930765458,1.3667663555994551,0.1717608116712999,0.03275485108966456,-0.17440211435333844,0.23991181653266755
profile3:surveyyear2010,0.16521371709430294,0.15354788111445528,1.07597523258007,0.2819909315961146,0.0234449806582223,-0.27750886632611005,0.3243988276425547
profile1:surveyyear2014,0.22244660356715026,0.11678459619160841,1.9047597955656947,0.05686938221498088,0.0401969982068121,-0.1887008103287404,0.2690948067423646
profile3:surveyyear2014,-0.1142063110107714,0.17483933724982903,-0.6532071832758167,0.5136531499368067,-0.012440309049355521,-0.3551254100590204,0.33024479196030937
profile1:surveyyear2018,-0.2871186478386201,0.2924073030250898,-0.9819133956923918,0.32619065027011973,-0.014172385264394306,-0.5872906991935704,0.5589459286647817
profile3:surveyyear2018,NA,NA,NA,NA,NA,NA,NA
