term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.28146735415075835,0.05890332466875692,4.778462943027259,1.8180145693201774e-6,0.28146735415075835,0.1660168377999948,0.39691787050152194
profile1,-0.2068686863921422,0.08166400276901568,-2.5331685856406576,0.011334581432999173,-0.07730451959684327,-0.237365965024114,0.08275692583042747
profile3,-0.03259302114891072,0.11309557986938183,-0.28819005293180844,0.7732134490164961,-0.008491156879225881,-0.23015849342321426,0.2131761796647625
surveyyear2006,0.0801227001736173,0.05187338832779663,1.5445819669096714,0.12251197453844102,0.034899962355070445,-0.06677187876741095,0.13657180347755185
surveyyear2010,0.10717251420483724,0.05530704924645964,1.9377731349805767,0.05270827809558142,0.04423717046112075,-0.06416464606194014,0.15263898698418166
surveyyear2014,0.024811726081280124,0.05729275731579813,0.4330691564470827,0.6649835868552604,0.009371899141973169,-0.10292190519699117,0.12166570348093751
surveyyear2018,-0.0014481808862812798,0.051666521800190414,-0.028029386067090403,0.9776398548748821,-5.846563983933883e-4,-0.1018510391267666,0.10068172632997982
age,-0.1703586568491348,0.015366179424526113,-11.086598180496553,3.148331620568545e-28,-0.17159203873969547,-0.20170975041176664,-0.1414743270676243
sex,-0.1825955948532187,0.02763731742105783,-6.606849430114834,4.3431178939367636e-11,-0.09179660617510786,-0.1459657483203812,-0.037627464029834516
fas,0.07507460358348493,0.013934160690403288,5.387809517310231,7.46586661681905e-8,0.0751582331594266,0.04784727820623616,0.10246918811261704
profile1:surveyyear2006,-0.051579239462456836,0.11245857791962795,-0.45865100214338084,0.6465051427819888,-0.009578199788079103,-0.22999701251054988,0.21084061293439166
profile3:surveyyear2006,-0.2691462497240643,0.14984567531366222,-1.79615627318358,0.07253123259706154,-0.03921558613771333,-0.3329131097524913,0.25448193747706466
profile1:surveyyear2010,-0.0081253457879223,0.10638798236128971,-0.07637465818581765,0.9391241479458866,-0.0018058525521474213,-0.21032629798027525,0.20671459287598043
profile3:surveyyear2010,-0.028689633851461303,0.1527658267281709,-0.18780138507358182,0.8510401245466211,-0.004061522500842565,-0.30348254288805754,0.2953594978863724
profile1:surveyyear2014,0.09949266484214495,0.11502094010399061,0.8649961020331904,0.3870832644364195,0.018475662519221375,-0.20696538008460022,0.24391670512304295
profile3:surveyyear2014,0.04470109821869716,0.16817312073370147,0.2658040596718211,0.7904012967471924,0.005184636994238783,-0.3244346796438161,0.33480395363229365
profile1:surveyyear2018,-0.42493132893156893,0.2902541626206034,-1.463997363879341,0.14325880309245503,-0.021132016638248204,-0.5900301753746308,0.5477661420981345
profile3:surveyyear2018,NA,NA,NA,NA,NA,NA,NA
