term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.708964057591976,0.058337553731849026,-12.152790308122253,2.1101604323240715e-33,-0.708964057591976,-0.8233056629064001,-0.594622452277552
profile2,0.09726749109549855,0.17679113463289092,0.5501830807154202,0.5822242457240556,0.02699177939335185,-0.3195188444871144,0.37350240327381806
profile3,0.6056322378765283,0.16280648040030374,3.7199516652372666,2.019699504989245e-4,0.19094110191515082,-0.12815959966944449,0.5100418034997461
profile4,0.24500563293859237,0.1476813560361015,1.659015325392187,0.0971903830636899,0.08019532508999909,-0.20926013274075983,0.36965078292075804
age,0.06301523003384234,0.0157083118388099,4.01158512006065,6.140441570244393e-5,0.06291684271220808,0.03212855150814069,0.09370513391627548
sex,0.33260632759682834,0.035643873634788756,9.33137433391082,1.6779656244054434e-20,0.16483894314568934,0.09497695082150338,0.2347009354698753
fas,-0.022317584762320687,0.014839735411094056,-1.5039071886440951,0.13268348983448777,-0.022199732634050243,-0.05128561403979459,0.006886148771694106
profile2:sex,0.2187276341150462,0.1077929753830899,2.029145529545882,0.04250895689052084,0.1001142277916216,-0.11116000395923462,0.31138845954247785
profile3:sex,0.09574447962051053,0.09669508692810383,0.9901690216349863,0.32215085391162585,0.05134418044658392,-0.13817818993249958,0.24086655082566744
profile4:sex,0.21651434725018276,0.09101185222221478,2.3789686943359944,0.017407377993751118,0.11529685031099803,-0.06308638004454294,0.293680080666539
