term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.08982820993641313,0.05973273708409078,1.5038354899082298,0.13270345499280758,0.08982820993641313,-0.027247954748404787,0.20690437462123107
profile2,0.10429675730233642,0.1821213631798068,0.5726772273243155,0.5668957632502925,0.028943691093813454,-0.32801418073860783,0.38590156292623473
profile3,-0.4515467774788045,0.16590851372111406,-2.7216612779609224,0.006523880032740184,-0.14316941088825502,-0.4683500977816386,0.18201127600512856
profile4,-0.14859163524904495,0.15149413790789343,-0.980840825269337,0.32673114558007044,-0.04867126802896582,-0.3455997783284369,0.24825724227050527
age,-0.1028298624193138,0.016112759481062135,-6.381890236751388,1.9506807845286755e-10,-0.102864628351062,-0.1344456369339438,-0.0712836197681802
sex,0.02148921924593088,0.03650962516633848,0.5885905195691719,0.5561695555983939,0.010674490802535085,-0.06088437452348833,0.0822333561285585
fas,0.20952181082412116,0.015239729646369595,13.748394209475586,4.741867534843619e-42,0.20841637905963198,0.17854650895274757,0.2382862491665164
profile2:sex,-0.25439464062973005,0.11079483878121374,-2.2960874660604222,0.021722859317389116,-0.1167350800569282,-0.3338929640681071,0.10042280395425071
profile3:sex,0.037167080807271706,0.09863959674531275,0.3767967635070228,0.7063448295246693,0.020024819247980573,-0.17330879037283242,0.21335842886879358
profile4:sex,-0.20700835376109886,0.09337873638846786,-2.2168682268296798,0.026688680468610945,-0.11029797514308345,-0.2933202984644805,0.07272434817831355
