term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.460672392387078,0.06276557457221395,7.339571023237565,2.662718410595082e-13,0.460672392387078,0.33765186622553867,0.5836929185486174
profile2,-0.512530427849336,0.21315000186952657,-2.404552772010137,0.016245000408571224,-0.13353682744657708,-0.5513108311108492,0.284237176217695
profile3,-0.15691199688388846,0.1472246103369989,-1.065800048814631,0.28658912014401566,-0.05833562233682188,-0.34689585859733973,0.23022461392369598
profile4,-0.44509661438249104,0.20040304387527533,-2.2210072550569913,0.026415597642685567,-0.11702019682148063,-0.5098101628170202,0.275769769174059
age,-0.02580672651464978,0.017316806094462123,-1.4902705714827351,0.13624513498496824,-0.025758500949687145,-0.0596994408948329,0.008182438995458612
sex,-0.21273524210991065,0.03950095035257622,-5.385572757391551,7.707822041188257e-8,-0.1062119323813454,-0.1836337950723948,-0.028790069690296002
fas,0.12666612348442158,0.016526815435123233,7.664278939984246,2.326115591710543e-14,0.12599606191695495,0.09360350366411341,0.1583886201697965
profile2:sex,0.07467807581865855,0.12878115331621717,0.5798835768716049,0.5620312520863268,0.03244751287312247,-0.2199635476266632,0.28485857337290815
profile3:sex,-0.14985508124403468,0.09008332715005299,-1.6635162797042242,0.09630056795069175,-0.09245575759033507,-0.2690190788044389,0.08410756362376877
profile4:sex,-0.09863805553384386,0.12584528106289092,-0.7838041657243365,0.43320919686931925,-0.04131161270484083,-0.287968363588107,0.20534513817842537
