term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.39257942300682463,0.05334307284356757,-7.359520216581679,2.2670329252310727e-13,-0.39257942300682463,-0.4971318457802171,-0.2880270002334322
profile1,0.23359969167261949,0.33484362508025545,0.697638163535681,0.4854477986423743,0.03894006906369019,-0.6173534360936105,0.6952335742209909
profile3,-0.037793462214417234,0.319438753912462,-0.11831207626352698,0.9058268780634642,-0.006639076308273452,-0.632739033976699,0.6194608813601521
profile4,-0.23675390364268598,0.3580483202041318,-0.6612345046269369,0.5085035350959302,-0.03414379059564959,-0.7359184981957478,0.6676309170044488
age,0.1689661588120273,0.01643864449573661,10.278594372902763,1.8851350172469006e-24,0.1692331272128251,0.13701338400118135,0.20145287042446886
sex,0.23286736954202816,0.033221972856840094,7.009438317992092,2.8360021649353955e-12,0.11621868187053397,0.05110361507112739,0.18133374866994056
fas,-0.032741564184746635,0.015947271534072126,-2.053113858053566,0.04013242683273693,-0.032731896653827454,-0.06398854886060881,-0.0014752444470460882
profile1:sex,0.13003598136098124,0.19730630308190553,0.6590563977421485,0.509900991629652,0.036866439177005966,-0.3498539148635289,0.4235867932175408
profile3:sex,0.32510689152874833,0.18760959004042083,1.7328905812261701,0.08319930377782583,0.09734119278092901,-0.27037360369829583,0.46505598926015385
profile4:sex,0.378565207203396,0.22150862979208347,1.7090314158808706,0.08752986102368024,0.08838334172352405,-0.3457735726689596,0.5225402561160076
