term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.5423431096260037,0.027682832945807926,19.591315335670224,1.1824351816373136e-84,0.5423431096260037,0.4880847570522202,0.5966014621997873
profile1,-0.27076129297188783,0.055388329159179864,-4.888417778296763,1.0245318243327517e-6,-0.0581889766507485,-0.16675010180274102,0.050372148501244024
profile2,-0.25304854431246404,0.07620815743669104,-3.320491569720484,9.002304969860643e-4,-0.04099170340639001,-0.19035969198230446,0.10837628516952443
profile4,-0.39687188704902593,0.057031941660382744,-6.958765132219111,3.541006999802905e-12,-0.09810681974521995,-0.20988942539957012,0.013675785909130225
surveyyear2006,-0.25013612945097935,0.024777406162070467,-10.095331521581567,6.627869652350604e-24,-0.09501046309125322,-0.14357417916891133,-0.0464467470135951
surveyyear2010,-0.1619845283344937,0.023115183139493335,-7.007711224131978,2.5010905813158803e-12,-0.06926242668641976,-0.1145681856398267,-0.023956667733012818
surveyyear2014,-0.13308312938945047,0.023852658398547142,-5.579383528904959,2.4456129336664202e-8,-0.05255824815021885,-0.09930945861137125,-0.005807037689066458
surveyyear2018,-0.3623618837003974,0.024005347675451066,-15.09504834503875,3.386254676310518e-51,-0.1413772441222194,-0.1884277255661035,-0.0943267626783353
age,-0.06883846139790771,0.007249886252217455,-9.495109164899343,2.4448041472881414e-21,-0.06886784689376844,-0.08307762394811466,-0.05465806983942223
sex,-0.2029043484147201,0.013808123984892708,-14.694563043952616,1.2670927032705958e-48,-0.10119422340262145,-0.12825814641301114,-0.07413030039223174
fas,0.1500906927895847,0.007017486331629729,21.38809905665009,2.413262164332276e-100,0.14973130215320724,0.13597702894321298,0.1634855753632015
profile1:surveyyear2006,-0.00783281485878022,0.0935410698729896,-0.08373663963236301,0.9332666799883513,-7.295721883167849e-4,-0.1840700691393764,0.18261092476274282
profile2:surveyyear2006,-0.0722473598851872,0.13290230908139475,-0.5436125255050309,0.5867143185261059,-0.004600206597132898,-0.2650887323966666,0.2558883192024008
profile4:surveyyear2006,-0.0773076332881803,0.08429775405211395,-0.9170782087549774,0.3591129377755049,-0.008782629504504088,-0.17400622744664743,0.15644096843763924
profile1:surveyyear2010,-0.12190428476073929,0.0867667114082745,-1.4049660610868089,0.16004721166328603,-0.012767900730901347,-0.18283065509111934,0.15729485362931667
profile2:surveyyear2010,-0.2979427986255198,0.11170982321208321,-2.66711368847008,0.0076568603855231895,-0.025322726048946215,-0.24427397954462932,0.19362852744673686
profile4:surveyyear2010,-0.271069383594993,0.07639930245960737,-3.5480609752727585,3.8898475202532855e-4,-0.03747129553710527,-0.1872139283579357,0.11227133728372518
profile1:surveyyear2014,0.02570025685160809,0.10449977344316501,0.2459360054554172,0.8057343453424771,0.002018648860946702,-0.2028009070876567,0.20683820480955012
profile2:surveyyear2014,-0.08256539579589231,0.12692957454403367,-0.6504819392367002,0.5153885853911924,-0.005635974607508515,-0.2544179407138145,0.24314599149879748
profile4:surveyyear2014,-0.03558810692646221,0.08895128138251146,-0.4000853767741126,0.6890979925413387,-0.003641838277152392,-0.17798634978687486,0.17070267323257007
profile1:surveyyear2018,-0.019058854436489532,0.10981034616640273,-0.17356155500692455,0.8622118395594498,-0.0013959540900168924,-0.21662423257616623,0.21383232439613245
profile2:surveyyear2018,-0.02677825808504226,0.1617952844662613,-0.16550703670616712,0.8685466179097066,-0.0012940435163035341,-0.31841280107017567,0.3158247140375686
profile4:surveyyear2018,-0.05983680848891271,0.10665299143462556,-0.5610420081427394,0.5747753110109481,-0.004603205860798224,-0.21364306907266434,0.20443665735106786
