term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.21251621954270913,0.02736896804506502,7.764860523523778,8.577571275476498e-15,0.21251621954270913,0.1588730421743817,0.26615939691103657
profile1,-0.2006705776659324,0.05497701385044247,-3.6500814360676186,2.628448586155504e-4,-0.043055347992017295,-0.15081029513888455,0.06469959915484995
profile2,-0.2418460220856069,0.07599017628928893,-3.182595881406001,0.001461911684419565,-0.03919193934433025,-0.18813268487133655,0.10974880618267607
profile4,-0.4046661496999927,0.056457023801461094,-7.167684770686053,7.90124237686275e-13,-0.10018483631130605,-0.21084060296216978,0.01047093033955769
surveyyear2006,-0.21067527641133274,0.02457518933111268,-8.572681722724864,1.0856881730842062e-17,-0.07993239594758833,-0.12809976703656917,-0.03176502485860748
surveyyear2010,-0.17801135563882997,0.022876605762587668,-7.781370955386625,7.531988734218461e-15,-0.07624791839730197,-0.1210860656919738,-0.03140977110263014
surveyyear2014,-0.06492101987575813,0.02369456036630617,-2.7399124048773773,0.0061511691752191575,-0.025551083485972872,-0.07199242180393296,0.020890254831987223
surveyyear2018,-0.11172439574889448,0.02379810082555333,-4.694676964681562,2.6885252585544526e-6,-0.04355719401596345,-0.09020147163404799,0.0030870836021210726
age,-0.1634595417220196,0.0072098685018520715,-22.671639805917415,2.4479191338839863e-112,-0.16338586808271896,-0.177517210346349,-0.1492545258190889
sex,-0.04267710098090173,0.013716942667299819,-3.111269181188662,0.0018655509273350576,-0.02129033504457228,-0.04817554267247992,0.005594872583335363
fas,0.21290649329039774,0.006993446445062457,30.443715407403296,6.727360681315572e-199,0.21178243466643185,0.19807527963410942,0.22548958969875427
profile1:surveyyear2006,-0.042651551455338985,0.0929702691328727,-0.45876549409985656,0.6464077117579842,-0.003969863330679574,-0.18619159083111006,0.1782518641697509
profile2:surveyyear2006,0.20333701115897196,0.1323222555831091,1.5366803585906217,0.12438789892780908,0.012932109820817248,-0.24641951112207658,0.2722837307637111
profile4:surveyyear2006,-0.023814845227912374,0.08383716604792629,-0.2840607137686214,0.776366882407242,-0.0026930114301359914,-0.1670138568840715,0.16162783402379954
profile1:surveyyear2010,0.13284385682809785,0.08626874326663812,1.5398839927168764,0.12360493032443455,0.013888944155125609,-0.1551977926474851,0.18297568095773634
profile2:surveyyear2010,0.10799401729224209,0.11088606136625671,0.9739187771810002,0.3301090034449571,0.00922546042018362,-0.20811121985767952,0.22656214069804678
profile4:surveyyear2010,0.14916070912060675,0.07563957595119794,1.9719929315421343,0.04862458516724211,0.02069664429875164,-0.1275569245655963,0.1689502131630996
profile1:surveyyear2014,-0.028782141244683937,0.10346308160383771,-0.2781875505592551,0.7808713534529127,-0.0022722680222943136,-0.20505990796581625,0.2005153719212276
profile2:surveyyear2014,-0.1114827179752188,0.12676598760917857,-0.8794371430207422,0.3791751848983964,-0.007565624550648138,-0.2560269602646381,0.24089571116334185
profile4:surveyyear2014,0.3104708659411681,0.08826546854562993,3.517466921740367,4.3668167455253234e-4,0.03178078579858158,-0.14121953255085307,0.20478110414801626
profile1:surveyyear2018,0.03214392845281979,0.11062729114077528,0.29056056712006123,0.7713905257379132,0.0023102135731004943,-0.21451927706281906,0.21913970420902004
profile2:surveyyear2018,-0.12311809047948613,0.15895918321752248,-0.7745264412374919,0.4386289700189383,-0.006044617805948085,-0.3176046169122921,0.30551538130039596
profile4:surveyyear2018,0.023209044535122958,0.10550191080100631,0.21998695908834273,0.8258836239558819,0.00179458046492437,-0.204989164705048,0.20857832563489673
