term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.544337980519019,0.018401213705551336,-29.58163462635084,4.2893324545593826e-190,-0.544337980519019,-0.5804043593818997,-0.5082716016561384
profile1,0.7796919110125545,0.05422742411184792,14.37818454006564,9.489447351198775e-47,0.1210521304106282,0.014766379151406273,0.22733788166985014
profile3,0.5335448371844427,0.061386349324493585,8.691587674713775,3.718466125968492e-18,0.07462690308505356,-0.045690341590953865,0.19494414776106098
surveyyear2010,0.026934682565789545,0.014164715351443207,1.9015336275744672,0.057239927864885146,0.012279521462467281,-0.015483320626361406,0.040042363551295965
surveyyear2014,0.07180928910360812,0.014744495257522834,4.870243968980225,1.1192108617443858e-6,0.03190847049572505,0.003009259790980299,0.06080768120046981
surveyyear2018,0.10720284993157791,0.015803969307571376,6.7832863912371115,1.1924053342274897e-11,0.041808617833021096,0.010832837990181199,0.07278439767586099
age,0.08999878689686855,0.005169413949497093,17.409862660664675,1.2945171625690702e-67,0.09002877333998201,0.0798967219989677,0.10016082468099631
sex,0.309126316943476,0.010071094703822807,30.69441069064093,2.5215718986893823e-204,0.15481214680804395,0.13507280118855125,0.17455149242753665
fas,-0.039197335390033734,0.005300389711293594,-7.395179887719496,1.442085516124759e-13,-0.039042080551079605,-0.04943084438521505,-0.028653316716944162
profile1:surveyyear2010,0.050368872728690436,0.07556118049984743,0.6665972182474325,0.5050336112219616,0.004845680215816564,-0.1432542335638844,0.15294559399551755
profile3:surveyyear2010,-0.0851265556281913,0.08261709406038233,-1.0303746046305489,0.3028409384800215,-0.007815097262732558,-0.1697446016210819,0.1541144070956168
profile1:surveyyear2014,0.12320528113053146,0.09651353858597679,1.2765595680732083,0.20176581197475288,0.007795309025892038,-0.18137122660262248,0.19696184465440655
profile3:surveyyear2014,0.20504821749397217,0.11405269348887954,1.7978375715779562,0.07221091729749868,0.010777066308022214,-0.2127662129301817,0.23432034554622613
profile1:surveyyear2018,0.06668562853269307,0.11962031340110527,0.5574774604467547,0.577204633940116,0.003162479597487691,-0.23129333466867863,0.23761829386365402
profile3:surveyyear2018,0.14126514790653708,0.13684678372193043,1.0322869421146548,0.30194447715840056,0.005838207650330958,-0.2623814884446527,0.2740579037453146
