term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.15952311886650727,0.018386805038428294,8.675956400968252,4.267576424669678e-18,0.15952311886650727,0.12348498099118782,0.19556125674182673
profile1,-0.8363959335013238,0.054292610665747344,-15.40533643980759,2.2213068664592963e-53,-0.1299128031866223,-0.23632632009148707,-0.0234992862817575
profile3,-0.5804058905407835,0.061749904598607984,-9.399300198333707,5.801323567859841e-21,-0.08129908369613377,-0.2023288967094054,0.03973072931713788
surveyyear2010,0.08831076405539279,0.014133329130948788,6.248404975018393,4.1924324940182594e-10,0.04038644844206053,0.012685123345400909,0.06808777353872016
surveyyear2014,0.061577693688805904,0.014802522482469811,4.159945966083182,3.19051571774371e-5,0.0272388348725419,-0.0017741091930989286,0.05625177893818273
surveyyear2018,-0.0756106318638107,0.015722856272624496,-4.80896285972279,1.5232034901785576e-6,-0.029706069232795902,-0.06052286752713991,0.0011107290615481082
age,-0.11704408927109536,0.005158105121524636,-22.69129583704556,3.332661078388629e-113,-0.11734542975877071,-0.127455315796959,-0.10723554372058243
sex,-0.10086596772307974,0.01006118720874317,-10.025255035054634,1.2668290418034954e-23,-0.05056599199716558,-0.07028591892630219,-0.030846065068028963
fas,0.13885095605794512,0.005310162590322362,26.148155295846777,2.4790898092360133e-149,0.13805384593485212,0.12764592725782029,0.14846176461188396
profile1:surveyyear2010,0.06093994826188534,0.07544202701895973,0.8077718835228301,0.4192271862100123,0.005890089410140118,-0.14197628354702094,0.1537564623673012
profile3:surveyyear2010,0.042646058953016035,0.08273134298422398,0.5154764496104965,0.6062232492060987,0.003932349979280964,-0.15822108226979803,0.16608578222835996
profile1:surveyyear2014,-0.4681136145560551,0.09765900471735173,-4.793348200822717,1.646664637326669e-6,-0.0291321659913287,-0.22054381523733807,0.16227948325468067
profile3:surveyyear2014,-0.23661988834032668,0.11365424291774769,-2.081927451767639,0.0373560572182012,-0.012531306400981466,-0.23529362251976693,0.210231009717804
profile1:surveyyear2018,0.11003498694119782,0.11782895305723706,0.9338535570942974,0.3503856258637278,0.005320920789973918,-0.22562382720221072,0.23626566878215857
profile3:surveyyear2018,-0.024843805103711456,0.13618619697032636,-0.18242527992117055,0.8552500028849113,-0.0010345851185409372,-0.2679595311803806,0.2658903609432987
