term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.14715467745958763,0.05470346924285926,2.690042871070678,0.007166771521651396,0.14715467745958763,0.03993587774358348,0.2543734771755918
profile1,0.0709560112998363,0.1589732826094025,0.4463392221331636,0.6553705423572893,0.01871503834513352,-0.2928725955692954,0.3303026722595624
profile3,0.2695298959645376,0.11436618191750296,2.356727237418493,0.018473123862529795,0.09985726341542298,-0.12430045314288282,0.32401497997372875
profile4,0.13845332351406608,0.19371826279798615,0.714714872590244,0.47481686127994793,0.029488546427556297,-0.3501992486564966,0.40917634151160914
age,-0.12182460879111656,0.013804765948831541,-8.824822473823108,1.4678326327107427e-18,-0.12187390009241901,-0.14893124135212882,-0.09481655883270919
sex,-0.07805948626741956,0.03261554333335071,-2.393321658621599,0.01673132715132346,-0.03883870385237772,-0.10276516878574513,0.02508776108098968
fas,0.12256208467042957,0.013667435752944388,8.967452775040549,4.1406307593827494e-19,0.12182813036455678,0.09503995628878578,0.14861630444032778
profile1:sex,-0.21088814903387146,0.10428951374600147,-2.0221414546767607,0.04321209723390694,-0.08410267774505792,-0.2885101246872208,0.12030476919710495
profile3:sex,-0.23711407485174904,0.07481128255916115,-3.169496187479983,0.0015357640712431871,-0.1324453935944387,-0.27907550741039455,0.014184720221517177
profile4:sex,-0.21607635235122802,0.13007225215557366,-1.6612025145285303,0.09673218421818872,-0.06811296250778696,-0.3230545767327114,0.18682865171713742
