term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.09207208413112405,0.05289306513759998,-1.740721281544203,0.08179201841182947,-0.09207208413112405,-0.19574249180082004,0.011598323538571917
profile1,0.1576244611837236,0.15498506666955214,1.017029992443072,0.3091868169203833,0.04184169646781806,-0.26192903420450414,0.34561242714014023
profile3,-0.12504342617206635,0.11063550317356573,-1.1302287474202324,0.2584323515081718,-0.046986694401885326,-0.26383228062207414,0.1698588918183035
profile4,-0.183738388407253,0.1901966383510766,-0.9660443528349719,0.3340672348353594,-0.03913440366043558,-0.4119198148285457,0.33365100750767457
age,-0.19819891153504388,0.013430133082867796,-14.757777180024904,2.6137334530294352e-48,-0.2005308684638971,-0.22685392930631798,-0.1742078076214762
sex,0.08276778690411075,0.03154675454636859,2.623654575384469,0.008724789687485182,0.04171635102581727,-0.02011528788506517,0.10354798993669971
fas,0.203838031314377,0.01320939178600925,15.431295749004311,1.4802211959954546e-52,0.20570469159440966,0.1798142836938315,0.2315950994949878
profile1:sex,-0.21847959044717633,0.10169819505677653,-2.14831335330192,0.031735250780183834,-0.08767118885951752,-0.2869996511707995,0.11165727345176449
profile3:sex,0.008436902778002799,0.07239414396359883,0.1165412327030904,0.9072281424352471,0.00477819255754033,-0.1371143296111134,0.14667071472619406
profile4:sex,-0.05569016313689959,0.12748164343637727,-0.4368484876388739,0.6622395007069066,-0.017589895544735404,-0.2674539166800349,0.23227412559056404
