term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.3276749670822194,0.057686748599464516,-5.680246764423486,1.423752473427247e-8,-0.3276749670822194,-0.44074099433716984,-0.21460893982726892
profile1,-0.05266925237740855,0.19896428316335737,-0.2647171217869544,0.7912386749881444,-0.011428866972172273,-0.4013988619723527,0.37854112802800816
profile3,0.22793982133351243,0.1302875645816499,1.7495132560457438,0.08026580675412737,0.07820861687233535,-0.1771550097076984,0.33357224345236913
profile4,0.6258283109341662,0.22195874612811325,2.81957040148777,0.004828376625232566,0.12121202678221514,-0.3138271156288868,0.5562511691933171
age,0.044517212901163776,0.014220733646313821,3.1304441815984054,0.0017558312545336468,0.044867519661983074,0.016994881715207986,0.07274015760875815
sex,0.1709315665013453,0.03350113588162191,5.102261818982536,3.4846987593144996e-7,0.0844949917939875,0.018832765466008566,0.15015721812196645
fas,-0.10806555431660105,0.014401526805914708,-7.503756773359511,7.339434013194108e-14,-0.1069574667287034,-0.13518445926829623,-0.07873047418911058
profile1:sex,0.37633872948920216,0.13749659980371237,2.737076626087165,0.006221459147465303,0.11703717619497121,-0.152456159420305,0.38653051181024745
profile3:sex,-0.042717631754835055,0.08427300432387771,-0.5068957977416209,0.6122510597553996,-0.022325717305364968,-0.18750080578016529,0.14284937116943533
profile4:sex,-0.21330038641163854,0.1546441298423643,-1.3792983065640136,0.16786661765324373,-0.058789897621689145,-0.36189239211272317,0.2443125968693449
