term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.33636760566838547,0.03769140796515166,-8.924251542404061,5.53353054108787e-19,-0.33636760566838547,-0.41024276528008274,-0.2624924460566882
profile1,0.20486114452794327,0.23169977715317303,0.8841663425188054,0.37663402316505146,0.029820065314293827,-0.4243114979059253,0.48395162853451296
profile3,0.7811959871410437,0.2821307859671471,2.7689143687850164,0.005637795474080025,0.0974814420268374,-0.4554948984687709,0.6504577825224457
profile4,0.6721133023966221,0.457716414640968,1.4684055037087247,0.14203494516205414,0.049468182707857536,-0.8476559899884397,0.9465923554041549
age,0.11609250961534426,0.011255794581831697,10.314021704228018,8.823557110064851e-25,0.11609250961534426,0.09403115223495413,0.1381538669957344
sex,0.20352608885207074,0.02303121455518848,8.836967254348309,1.203237892463755e-18,0.1012898182693689,0.056148637741199485,0.14643099879753832
fas,-0.055072281322558855,0.011200758973125476,-4.916834783669254,8.977402928043873e-7,-0.055072281322558855,-0.07702576890988479,-0.033118793735232924
profile1:sex,0.2676030270636506,0.15824675105214914,1.6910491070711704,0.09086788288036543,0.05694240715958327,-0.25322122490262905,0.3671060392217956
profile3:sex,-0.2830985184949621,0.2211982027545461,-1.2798409524561285,0.2006396261387338,-0.04492671090915753,-0.47847518830806784,0.38862176648975283
profile4:sex,-0.2434702143190741,0.31245936745436476,-0.7792060014159549,0.4358823159334746,-0.026239571232325898,-0.6386599314428808,0.586180788978229
