term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.2908694909212201,0.020893998960093366,-13.921197731308796,6.697616771388261e-44,-0.2908694909212201,-0.3318217288830031,-0.24991725295943712
profile1,0.4194767160608922,0.10301521219145274,4.07198807959837,4.674734651929774e-5,0.07359109423359456,-0.1283187216616528,0.2755009101288419
profile3,0.36055076954651877,0.102449079359425,3.519316833307875,4.3337658103127834e-4,0.06361256791968674,-0.13718762762478626,0.26441276346415976
profile4,0.15109170459963364,0.1318018382062852,1.1463550634487933,0.2516585003171584,0.020697733160052016,-0.23763386972426692,0.27902933604437097
age,0.09390504787230351,0.006075801561151085,15.455581774219898,1.1794360120610249e-53,0.09399303502829022,0.0820844639684341,0.10590160608814635
sex,0.16205728507757322,0.012665948802703046,12.794721311599531,2.2576178006369995e-37,0.08073712771376233,0.05591186806046436,0.1055623873670603
fas,-0.04259264951589237,0.00605571653226582,-7.033461571219848,2.0630515377904606e-12,-0.04234560515367895,-0.05421480955691996,-0.030476400750437945
profile1:sex,0.039273615617086796,0.0726157345358607,0.5408416766436733,0.5886212076912449,0.009735687334916641,-0.13259115235537033,0.15206252702520362
profile3:sex,0.05501651271526437,0.07144850458962426,0.7700162939904813,0.44129701266415433,0.013868067416168141,-0.1261710015794954,0.15390713641183168
profile4:sex,0.26398479405416614,0.09444482773433537,2.795121769894389,0.005191704267371232,0.05033802848544418,-0.1347738338738531,0.2354498908447415
