term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.16434105490946077,0.02088897425215986,7.867358776243806,3.7559745858305815e-15,0.16434105490946077,0.12339866537522745,0.2052834444436941
profile1,-0.06401457772266705,0.10262537381406592,-0.6237694962129645,0.5327842083197496,-0.011258694603013722,-0.21240442727858294,0.18988703807255547
profile3,0.01727370880265507,0.10267681227291578,0.16823378541146577,0.866400614179254,0.00303635997156902,-0.19821019208334592,0.20428291202648394
profile4,-0.07462537469985386,0.1318180052587903,-0.5661242904817622,0.5713139644472525,-0.010214225078138718,-0.2685775153853677,0.24814906522909028
age,-0.08537000212209135,0.006081290032436395,-14.038140208203307,1.3040413887135016e-44,-0.0852638091305582,-0.09718313759413354,-0.07334448066698286
sex,-0.09155847228672048,0.012674300793253076,-7.223946612933465,5.182825550565649e-13,-0.045517529536789225,-0.07035915909156526,-0.020675899982013198
fas,0.07229434667028653,0.0060517609571779886,11.946001697991436,8.231537068305857e-33,0.07180894119303474,0.05994748971696588,0.0836703926691036
profile1:sex,-0.2311722959285387,0.07233064867015863,-3.1960489803254477,0.0013948266008389045,-0.05745523816687981,-0.19922330956039072,0.0843128332266311
profile3:sex,-0.19770233405886503,0.07175515744560705,-2.7552351788612603,0.005868898750299696,-0.04954736186647537,-0.1901874704598652,0.09109274672691445
profile4:sex,-0.1364571728779677,0.09484816406095618,-1.4386907140371277,0.15024968273202005,-0.02588983479432838,-0.2117922363538025,0.16001256676514575
