term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.4298325767213985,0.05376021828651874,7.995365168172803,1.6103144390151698e-15,0.4298325767213985,0.3244625488798218,0.5352026045629752
profile1,-0.14668467061320914,0.11563266204132232,-1.2685401168122388,0.2046674424661878,-0.05869394315159946,-0.2853339607525912,0.16794607444939227
profile3,0.42481803979962546,0.19404516623517032,2.189274013065459,0.028625538842048978,0.09843714666216508,-0.2818913791587687,0.47876567248309887
profile4,0.26468097814261815,0.1678150945856315,1.5772179421414239,0.11481213128074205,0.0703710465290283,-0.25854653885880946,0.3992886319168661
age,-0.09369187836486892,0.01495113317236154,-6.2665402872650775,4.019033239883475e-10,-0.09361153131856992,-0.12291575233639854,-0.0643073103007413
sex,-0.21519819513040503,0.0342682416442148,-6.279814335520044,3.6930551411801336e-10,-0.10766964622342315,-0.17483539984608415,-0.04050389260076215
fas,0.09307842096365675,0.01409169257392658,6.605198096350531,4.4064581181220346e-11,0.09283584574774408,0.06521612830284798,0.12045556319264017
profile1:sex,-0.10189287638217023,0.07154764415188965,-1.4241262251187503,0.15447577638115326,-0.067219596377644,-0.2074529789153477,0.0730137861600597
profile3:sex,-0.5529722861010804,0.12203850120303834,-4.531129771752009,6.011202076687544e-6,-0.2036533838632257,-0.44284884622118087,0.03554207849472946
profile4:sex,-0.35346635291050477,0.10675102832186492,-3.3111283185466722,9.361608542981136e-4,-0.14834477236174926,-0.3575767878726045,0.060887243149105985
