term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.728104722250581,0.05322853484248002,-13.678842079821884,1.1856298794484334e-41,-0.728104722250581,-0.8324326505418418,-0.6237767939593202
profile2,0.240567670242917,0.21096714080854695,1.140308719741491,0.25422668508695917,0.05225541057644231,-0.3612401854083097,0.4657510065611943
profile3,0.5206617440072812,0.12429360277516821,4.18896654680687,2.8633354070892467e-5,0.20131331500547178,-0.04230214643385791,0.44492877644480144
profile4,0.06322639291111568,0.1760512854067028,0.35913621854594224,0.7195123401452626,0.016766112628665463,-0.32829440676847205,0.36182663202580295
age,0.11912061480591167,0.015011169289994073,7.935465419426944,2.707861280159036e-15,0.11907425277998514,0.08965236097159676,0.1484961445883735
sex,0.3305783086541519,0.03428088608063697,9.64322532027181,9.09441622788672e-22,0.16531009938530458,0.09811956266725612,0.23250063610335303
fas,-0.013686829049325985,0.014291819701262936,-0.9576687458572201,0.33828829825592677,-0.01364487213913073,-0.04165683875360608,0.014367094475344622
profile2:sex,0.355269921126577,0.1320672964576547,2.6900673418455927,0.007173739775478091,0.1236259142204836,-0.1352259868365196,0.38247781527748675
profile3:sex,0.1655996135364357,0.075704796633591,2.1874388532860474,0.02876879481643228,0.1075755771638489,-0.040805824237989466,0.2559569785656873
profile4:sex,0.3599757960657212,0.10882017605908022,3.3079876278667717,9.480828456413425e-4,0.15538010989746626,-0.05790743517833097,0.3686676549732635
