term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.37314165111010184,0.055769860858292115,6.690740220030896,2.531498364684938e-11,0.37314165111010184,0.2638327238278493,0.4824505783923544
profile2,-0.0959830500075365,0.22070265073558595,-0.43489758590407473,0.6636604592692464,-0.02101821926230863,-0.45359541470405706,0.4115589761794398
profile3,-0.3524443899645632,0.13083067749409028,-2.6938971555848084,0.007091969118492965,-0.13676010668294228,-0.3931882345713592,0.11966802120547468
profile4,0.12109805882970066,0.18498486686387908,0.6546376516237437,0.5127390860066966,0.032246221725168715,-0.33032411732803424,0.3948165607783717
age,-0.14651518291200405,0.01576435222814567,-9.2940820397565,2.387436636745895e-20,-0.14732178243419433,-0.17821991280135985,-0.11642365206702882
sex,-0.14495917785297405,0.035978371721424936,-4.029064432803433,5.705004102287038e-5,-0.07291885952956842,-0.1434364681035613,-0.002401250955575543
fas,0.07637825639175491,0.015026547745280394,5.082887812055443,3.889075859881536e-7,0.07649767692438807,0.04704564334363849,0.10594971050513764
profile2:sex,-0.30205498182259544,0.13836438465189163,-2.1830399678539383,0.029091378891804118,-0.10579992272303292,-0.3769941166407405,0.1653942711946747
profile3:sex,-0.06974353687659221,0.07968625698518927,-0.8752266641104118,0.3815036550887282,-0.04547708831938898,-0.20166215201035997,0.110707975371582
profile4:sex,-0.40213315750914197,0.11443914863950744,-3.5139474759279614,4.464378475071221e-4,-0.17414862697938133,-0.3984493583128159,0.050152104354053234
