term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.7726943834943829,0.05045281590986825,-15.315188450031563,1.605891834047109e-51,-0.7726943834943829,-0.8715819026777247,-0.6738068643110411
profile2,0.22102960311812048,0.3437688015183514,0.6429600421617122,0.5202861943905588,0.03427259585292318,-0.6395142551230455,0.7080594468288919
profile3,-0.26885597540151257,0.2635571889685387,-1.0201048829429062,0.3077392634039759,-0.051924271507706635,-0.5684963618860425,0.4646478188706292
profile4,-0.05732544388755163,0.23294286279101376,-0.24609229577032174,0.8056231780578686,-0.012612180453418689,-0.46918019152380563,0.4439558306169683
age,0.07088795975403109,0.01595516160335195,4.442948402298761,9.10895631355047e-6,0.07077719637167573,0.03950507962910591,0.10204931311424556
sex,0.4840853302095454,0.031751458555891746,15.246081667631593,4.3784640614757553e-51,0.24154343583949134,0.17931057706994352,0.30377629460903915
fas,-0.020907504509628673,0.014962842666682472,-1.397294950924204,0.16240094767570032,-0.02089049161502788,-0.050217663241725524,0.008436680011669764
profile2:sex,0.11527076944171737,0.2008135511290291,0.5740188786744388,0.5659866994073102,0.030628890452731844,-0.3629656697601652,0.42422345066562883
profile3:sex,0.41126988808042964,0.15760964857435752,2.609420754379765,0.009102720066000238,0.13296166459737377,-0.17595324660836695,0.44187657580311446
profile4:sex,0.18176646597088952,0.13896093289204164,1.3080400526103504,0.19093348637053967,0.0673435087173129,-0.20501991975108871,0.33970693718571454
