term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.4067665131778855,0.022834470515176276,17.813704631668152,1.8293007732563523e-70,0.4067665131778855,0.36201095096813996,0.451522075387631
profile1,0.09229680473019157,0.10538231549716803,0.8758282098353769,0.3811334626815799,0.0194990278204374,-0.18705031055401194,0.22604836619488672
profile3,0.0882633312939728,0.11812471183306404,0.7472046274170652,0.4549484283870373,0.0160698431958675,-0.21545459199693803,0.247594278388673
profile4,-0.015759548373505208,0.09812942710651135,-0.16059961663079442,0.8724103036862484,-0.0034867577260852063,-0.19582043485484743,0.18884691940267703
age,-0.08503995928281603,0.007101526816389107,-11.974883920251964,6.16158935450083e-33,-0.08517075904564358,-0.09908975160576623,-0.07125176648552094
sex,-0.24558796061477683,0.014408670557910837,-17.04445664349935,1.048559683407398e-64,-0.12304759884138164,-0.15128859313488688,-0.0948066045478764
fas,0.10318919488905468,0.006727085627924042,15.339360994710358,8.078791089347259e-53,0.103246948062248,0.09006186023151688,0.11643203589297912
profile1:sex,-0.18173317448402207,0.06428246128619154,-2.8271035496747543,0.004701560062354054,-0.06318463380590046,-0.1891782579268359,0.06280899031503497
profile3:sex,-0.23591313806936098,0.07398022324275667,-3.188867615271207,0.0014304113074134722,-0.06868230382084929,-0.21368354137665235,0.07631893373495378
profile4:sex,-0.2074418136044165,0.060956549542557345,-3.4031095126142135,6.674810021315042e-4,-0.0739224782954936,-0.19339731539890598,0.04555235880791879
