term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.4854204634491101,0.06384996898424665,7.602516824540278,3.7365489646430126e-14,0.4854204634491101,0.3602745242399867,0.6105664026582336
profile2,-0.24869978387835973,0.18030258830716728,-1.3793467204956014,0.16787886207381458,-0.08172024373156814,-0.435113316813616,0.27167282935047976
profile3,0.003139230830994311,0.1906697331378972,0.016464232572895768,0.9868650053584955,8.406699551943763e-4,-0.3728720069950841,0.3745533469054729
profile4,-0.018203100181686683,0.17377027035007395,-0.10475382322312729,0.916577349238345,-0.005414229351762288,-0.3460039592379072,0.33517550053438266
age,-0.0996642176882778,0.017533205907333226,-5.68431228236437,1.4244865393266184e-8,-0.09968504443068867,-0.1340501280090618,-0.06531996085231553
sex,-0.24302972207695245,0.03951214147252972,-6.150760576870165,8.610099779367539e-10,-0.12135073746772823,-0.19879453475388648,-0.04390694018156999
fas,0.07417121893117182,0.016584667641767994,4.472276474469335,7.992988801850143e-6,0.07417275178534886,0.041666803207483595,0.10667870036321414
profile2:sex,-0.12551481817317398,0.10588276347277589,-1.1854131310564613,0.23593722913868642,-0.0711596788547221,-0.27868989526136284,0.13637053755191864
profile3:sex,-0.3288916121071322,0.12598285951382734,-2.6106060251079986,0.009077992044934076,-0.13237846851891968,-0.37930487316602124,0.1145479361281819
profile4:sex,-0.13098896305663416,0.11269390374519928,-1.1623429369595712,0.2451780133781996,-0.06008316334436164,-0.2809632146849522,0.16079688799622893
