term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.569991087633323,0.04376876367983504,-13.022782452864368,3.362054019865775e-38,-0.569991087633323,-0.6557778644457997,-0.48420431082084625
profile1,-0.6745009149632527,0.31931238801443607,-2.112354359808798,0.03470147595927445,-0.09220781719801088,-0.7180600977063055,0.5336444633102838
profile3,5.734115889523139e-4,0.21261936411526974,0.0026968925964873255,0.9978482924391137,1.095215559031534e-4,-0.41662443211002553,0.41684347522183185
profile4,-0.033091527246546036,0.22892564352539832,-0.14455142174963317,0.8850704039062357,-0.0064365439299859314,-0.4551308052397666,0.44225771737979475
age,0.1609357985204898,0.013437712463803602,11.97642820189771,1.2104807253934111e-32,0.160919847934106,0.13458193150505093,0.18725776436316105
sex,0.35142366469413355,0.027305874504203208,12.869892324453433,2.3199442696409167e-37,0.17541625872913072,0.12189674470089243,0.228935772757369
fas,-0.03422872498340676,0.012993140572820125,-2.6343688649846966,0.00845324500599873,-0.03416690591809176,-0.0596334614408192,-0.008700350395364317
profile1:sex,0.6647949290660363,0.1922749219980415,3.4575228124279667,5.493369780537243e-4,0.1511011398620994,-0.22575770725406197,0.5279599869782607
profile3:sex,0.24440290239010268,0.13577941636069812,1.7999996534146692,0.07191602425072414,0.07298701637227155,-0.19314063969469675,0.3391146724392399
profile4:sex,0.2348973613498248,0.13639278532417173,1.7222125113988411,0.08508781771225929,0.07696536747140405,-0.19036449176397258,0.34429522670678064
