term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.17226865694879082,0.044175111407743925,3.8996767967084742,9.74845106025195e-5,0.17226865694879082,0.08568543858961272,0.25885187530796894
profile1,-0.40473570787286334,0.32143291357941395,-1.259160747932767,0.20802644103513107,-0.05560165241476469,-0.685610163030416,0.5744068582008867
profile3,0.03268566586456994,0.21406869427892486,0.1526877434118486,0.878650204047504,0.006273447487841607,-0.4133011932988511,0.4258480882745343
profile4,-0.4397466466798978,0.22712767225888014,-1.9361209592227695,0.05290475988529965,-0.08652413320949862,-0.5316943708369037,0.35864610441790645
age,-0.12797112367294763,0.01354783724468252,-9.445871053933413,5.107489140762044e-21,-0.12841048470251462,-0.15496424570209236,-0.10185672370293689
sex,-0.08673446672552015,0.027546668862846194,-3.148637214806906,0.0016492369502756057,-0.04343122661940288,-0.09742269759058142,0.01056024435177566
fas,0.17139553672701488,0.013131088957499261,13.0526521663026,2.3099926329728406e-38,0.17124267995965067,0.14550574560295212,0.19697961431634922
profile1:sex,-0.006419906319586285,0.1935503191553112,-0.03316918487969394,0.9735408915093234,-0.0014663614382394463,-0.38082498698264944,0.3778922641061705
profile3:sex,-0.2972396618399592,0.1366832131005126,-2.174661065520741,0.029698581011640204,-0.08920002541858335,-0.35709912309558806,0.17869907225842135
profile4:sex,0.06795500565758275,0.13590808660170708,0.500007080937958,0.6170903678305508,0.022424532324724425,-0.24395531741462145,0.2888043820640703
