term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.8109729869455384,0.04482122506411011,-18.09350337447408,3.750905823835089e-71,-0.8109729869455384,-0.8988225880711942,-0.7231233858198827
profile1,0.25930662671395666,0.11969590655604839,2.1663784015248226,0.030324481391551666,0.08039180944935816,-0.1542121674004967,0.314995786299213
profile2,-0.13367088165802837,0.1320274253848218,-1.012447840048508,0.3113678725193051,-0.03713441196801319,-0.2959081657222639,0.2216393417862375
profile3,1.1355726948455072,0.14179081418333886,8.008788872438414,1.3988708096799826e-15,0.33073332580041703,0.052823330001072866,0.6086433215997612
age,0.09841663362076082,0.012863580784725766,7.6507960938544315,2.3383889388282125e-14,0.09817632539873374,0.07296370706067123,0.12338894373679624
sex,0.41421710611447826,0.028185183998345117,14.696271138013463,5.324965026278357e-48,0.2070944537781037,0.15185149314134727,0.26233741441486014
fas,-0.08896592223417102,0.011962141682189183,-7.437290461676711,1.1834190948301818e-13,-0.08898196999499014,-0.11242776769208093,-0.06553617229789935
profile1:sex,0.17113894643250066,0.07836761176554118,2.183796884668517,0.02901867835023423,0.08090697172743061,-0.0726935473330301,0.23450749078789132
profile2:sex,0.45474284167891543,0.0936017329367638,4.858273745702275,1.21650252026264e-6,0.17522236845149494,-0.008237028104562089,0.358681765007552
profile3:sex,-0.03115857940668483,0.08466823600157157,-0.3680078962092287,0.7128813050923171,-0.015362476002995212,-0.1813122185660755,0.1505872665600851
