term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.02404034874310725,0.04908946921819263,0.48972517173190094,0.6243482585863469,0.02404034874310725,-0.07217501092455031,0.1202557084107648
profile1,0.032666047491603144,0.1302567878513807,0.250781921084022,0.8019922505257945,0.010154665454766225,-0.24514863873393994,0.2654579696434724
profile2,0.0368419558992282,0.14556491335945612,0.2530964024843758,0.8002033423362431,0.010054955121707858,-0.2752522750628261,0.2953621853062418
profile3,0.17051167403275044,0.15653664108934534,1.089276432956222,0.2760805561387289,0.049667922136116135,-0.2571438943990007,0.356479738671233
age,-0.09010428531960808,0.013877913569117717,-6.492639175972071,9.188325864672579e-11,-0.09014276323722388,-0.11734347383269461,-0.06294205264175315
sex,0.025619197000003837,0.030562834163055785,0.8382467693710227,0.40192918494297014,0.012808201984171185,-0.04709495297541815,0.07271135694376052
fas,0.2616052675260549,0.012976515569304197,20.15990087083772,3.3020725818710973e-87,0.2616672812925437,0.23623331077670745,0.2871012518083799
profile1:sex,-0.15459571441967437,0.08455902021151175,-1.8282581093415735,0.0675659011145585,-0.07388949095753163,-0.23962517057209465,0.09184618865703141
profile2:sex,-0.2346261507697483,0.10209481633423337,-2.2981201122066754,0.021592947773581964,-0.08985321109413377,-0.28995905110923115,0.11025262892096363
profile3:sex,-0.23529213358841455,0.0926060457584416,-2.540785881325316,0.011088087075807848,-0.11706774730110321,-0.29857559698764874,0.06444010238544233
