term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6094273988768284,0.04643013017590317,-13.125687922217283,8.768126334718738e-39,-0.6094273988768284,-0.7004304540215986,-0.5184243437320581
profile1,0.4232407106848418,0.1471302016627369,2.8766405938532356,0.004034569850666419,0.11218740542989356,-0.17618778982907077,0.40056260068885785
profile2,0.027688006627950443,0.14577144607057338,0.1899412221961882,0.8493620987458579,0.00718644729304588,-0.2785255870052779,0.2928984815913697
profile3,0.9484547013442474,0.11521540023109868,8.232013250327995,2.2713183983297677e-16,0.3419083024481899,0.11608611799523652,0.5677304869011434
age,0.06551630845319284,0.013092709805456085,5.004029679622963,5.786629293931656e-7,0.06550986597341761,0.03984815475472368,0.09117157719211154
sex,0.27284418468722765,0.029634114142889096,9.20709771757083,4.6430633804375625e-20,0.1363811584962118,0.07829829477614916,0.19446402221627443
fas,-0.03676112791814947,0.01243758251213303,-2.9556489681405926,0.0031331748210786845,-0.03671853099620315,-0.061096192719983886,-0.012340869272422408
profile1:sex,0.039415731500584264,0.09467472343696454,0.41632792861367784,0.6771860707827357,0.01629414874203916,-0.16926830919441133,0.20185660667848965
profile2:sex,0.3503972489284339,0.10133744265878343,3.4577273684344667,5.488199106214211e-4,0.1298100239618114,-0.06881136364940413,0.3284314115730269
profile3:sex,-0.05913345132060635,0.07040726031849757,-0.8398771810337102,0.40101323594901395,-0.035488575044321784,-0.17348680526857704,0.10250965517993346
