term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.49636715118706987,0.051178966565231236,9.698655219120429,4.662679846536408e-22,0.49636715118706987,0.3960563767192167,0.5966779256549231
profile1,-0.10180563644187376,0.14834713830989685,-0.6862662643967018,0.49257535238570416,-0.028055426341582437,-0.31881581742898024,0.2627049647458154
profile2,-0.2487039677173923,0.12602175526148168,-1.9735002674844366,0.04849065597148461,-0.08850517226609854,-0.3355078125786026,0.15849746804640558
profile4,0.06411743567711448,0.13959888674332868,0.4592976145648138,0.6460393686309198,0.019267654757448998,-0.2543461632594752,0.2928814727743732
age,-0.07574081953361544,0.01440698304184019,-5.257229727671086,1.5199944434446136e-7,-0.07569394102182495,-0.10393162778383172,-0.04745625425981817
sex,-0.2673552363314623,0.03250343241139235,-8.22544625280114,2.426177149306508e-16,-0.13363313090646362,-0.19733985843279261,-0.06992640338013462
fas,0.11299948728244874,0.0133256480123918,8.47984932345265,2.8934048790956944e-17,0.11286508797367562,0.08674681786938769,0.13898335807796355
profile1:sex,-0.13097798083673867,0.10439680091755164,-1.254616805166087,0.20967343288053533,-0.050592942636091764,-0.25521067243449297,0.15402478716230944
profile2:sex,-0.05416033487975477,0.07687028603809154,-0.7045678853454077,0.48111026484373765,-0.03209699416433827,-0.18276275479899767,0.11856876647032115
profile4:sex,-0.22364322298908765,0.09009827156856158,-2.482214354344224,0.013087726978072152,-0.10449569316474296,-0.28108830543912366,0.07209691910963774
