term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.49381486692382465,0.02391592169911134,-20.64795466119015,9.433288921602683e-94,-0.49381486692382465,-0.5406900734540829,-0.4469396603935664
profile1,0.24870944805625442,0.11480275496495376,2.1664066174385694,0.030291768781514038,0.045825641826807574,-0.1791877579045018,0.27083904155811694
profile3,0.2259798518777872,0.0918428617531356,2.4605053410160322,0.013882446422254927,0.05291428138891858,-0.12709772764722718,0.23292629042506433
profile4,-0.09049850485496466,0.07917967542279501,-1.1429511976619076,0.2530723823579234,-0.02382515876569724,-0.17901732259437547,0.131367005062981
age,0.07161095414932055,0.007317912906611608,9.785707354431793,1.4553963022101356e-22,0.07154945294637365,0.0572063436494149,0.0858925622433324
sex,0.2962917827216816,0.015041865082847303,19.697808821563765,1.4274273363147007e-85,0.148119925887606,0.11863787032522528,0.1776019814499867
fas,-0.03097093784660323,0.006875849903857549,-4.504306853648397,6.696234180264971e-6,-0.03093746641108442,-0.04441413222264522,-0.017460800599523624
profile1:sex,0.03894235558815972,0.07503784797833986,0.5189695152158504,0.603787677941624,0.010967244370055364,-0.13610693766749077,0.1580414264076015
profile3:sex,0.025430605889683808,0.05881560052791466,0.4323785808769241,0.6654708925795856,0.009319074754145206,-0.10595950228056752,0.12459765178885793
profile4:sex,0.33320503767157916,0.055252909906134406,6.030542793811939,1.6624754441238442e-9,0.12440811775386784,0.01611241433784441,0.23270382116989127
