y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-3.1898119845512074,0.22553063992539557,-14.143585925204583,2.0458783374640724e-45,0.04117961261461447,0.02646712085423659,0.06407045573369477
1,age,1.4018890435293259,0.09548890581025508,14.681171929176816,8.510671003648017e-49,4.062867656121401,3.36938686331205,4.899079346125134
1,sex,0.07823526247345859,0.13188997861628265,0.5931857999694903,0.5530568147463181,1.0813770361824422,0.8350454740997646,1.4003743875666044
1,fas,-0.14922520506191556,0.06501836492051657,-2.2951239275909177,0.021726023184661228,0.8613751070196911,0.7583113692537122,0.9784464602230438
2,(Intercept),-1.8607633894178384,0.21517707946105588,-8.647591063501777,5.259792598720508e-18,0.15555383687794297,0.10202774782824954,0.23716093594638774
2,age,1.2584606101714577,0.0930203829176012,13.528869380017714,1.0563582172051718e-41,3.5199986643765646,2.9333369320571387,4.223991612352373
2,sex,-0.8430466140060348,0.1444469726959012,-5.836374402811952,5.334894305964758e-9,0.4303972696063789,0.3242752196203117,0.5712487371114034
2,fas,0.25879519011769997,0.07291685813312923,3.5491818592238316,3.864301004717069e-4,1.295368473393155,1.1228590413754598,1.4943812357831237
3,(Intercept),-2.7563067936370427,0.21563385187721754,-12.782347343155058,2.057642138753464e-37,0.06352595009582637,0.04162937865435947,0.09693986473071742
3,age,1.1497727221400929,0.086338840665177,13.31698124832281,1.844145669454679e-40,3.157475203926484,2.665918348814809,3.739668046413654
3,sex,-0.09261782431492126,0.13179680876073613,-0.70273191882103625,0.4822228320598459,0.9115418028484994,0.7040262972411857,1.180223610391132
3,fas,0.06851620337671067,0.06745615120080564,1.0157146851255927,0.3097652729123169,1.0709179772978081,0.9382884577698953,1.222295025162597
