term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6885972503268571,0.05159983452133363,-13.34495074867267,8.417140485629015e-40,-0.6885972503268571,-0.7897329259886711,-0.5874615746650432
profile1,-0.09575494029224142,0.19050720258213308,-0.5026316012958026,0.6152501912914898,-0.023872406908733414,-0.39726652396971424,0.34952171015224737
profile2,0.3370039393205019,0.18274928374864943,1.8440780308830755,0.06524357723286162,0.0814108996740625,-0.27677769647329037,0.4395994958214154
profile3,0.15067620524502917,0.1875183004875852,0.8035280015509997,0.42171600773696183,0.036858234099068875,-0.3306776348565981,0.40439410305473583
age,0.1232956894171369,0.01570601100565836,7.850223037072716,5.2568939850613925e-15,0.12333838829932406,0.09255460672823368,0.15412216987041444
sex,0.38893940902877444,0.032270072619081235,12.052635072125474,6.684417784167598e-33,0.1944022259141026,0.13115288358070337,0.25765156824750185
fas,-0.02488785773122766,0.01460591213321577,-1.7039577880678463,0.08846443500296926,-0.024803877527125387,-0.0534314653082283,0.003823710253977524
profile1:sex,0.48951363683521143,0.11714533808044136,4.1786864492983256,2.9928138174525467e-5,0.1988179124569309,-0.030786950180734185,0.428422775094596
profile2:sex,0.035652747699053224,0.12976833311416103,0.27474150929941016,0.7835286235256614,0.01198474685787303,-0.24236118604588258,0.26633067976162866
profile3:sex,0.31300835593531967,0.11889751809666663,2.6325894850120934,0.008505320633383792,0.12065153935140432,-0.11238759611806226,0.3536906748208709
