term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6330419063078987,0.06124636493639232,-10.335991482357313,1.2830456275340907e-24,-0.6330419063078987,-0.7530847815832277,-0.5129990310325697
profile1,-0.022656331833779773,0.2552903754441709,-0.08874730116386412,0.9292888405270239,-0.004740924277639831,-0.5051100601482148,0.49562821159293513
profile3,0.324301817698252,0.27489757717034646,1.1797187193734018,0.23820844015854997,0.0711644800994075,-0.46763477115447155,0.6099637313532865
profile4,-0.3282015630074001,0.2669608167031853,-1.229399756340662,0.21902125286986088,-0.07339589060416869,-0.5966390913424119,0.4498473101340745
age,0.13760876007407805,0.018254952276029034,7.538160494386777,6.32654444742208e-14,0.13893410229884323,0.10315439583782632,0.17471380875986015
sex,0.37021054186732294,0.03794111642260126,9.757502592801698,3.7276756194334865e-22,0.18541429929624395,0.11104971110794548,0.2597788874845424
fas,-0.04686664754200063,0.01797681766341279,-2.6070602939576837,0.009178904572099616,-0.045935219686372854,-0.08116978230666191,-0.010700657066083787
profile1:sex,0.159402413682369,0.17146581699209737,0.9296454330003026,0.3526317250739386,0.04955199359451804,-0.2865210077099928,0.3856249948990289
profile3:sex,0.1792559680151242,0.16381486758829708,1.094259456752326,0.27393167411078373,0.0661610171100637,-0.2549161233629986,0.38723815758312596
profile4:sex,0.4057765351551076,0.16002504915933363,2.5357063615152167,0.011273934461068252,0.15177941681556942,-0.16186967953672451,0.4654285131678634
