term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.25524754058816085,0.05119593426273152,4.985699436175155,6.446847860157362e-7,0.25524754058816085,0.15490350943320708,0.3555915717431146
profile1,0.27053892804340685,0.3324833901336509,0.8136915589517306,0.415872174449914,0.04600972541679071,-0.6056577192451651,0.6976771700787465
profile3,-0.6374022636466333,0.4468462727079693,-1.4264464147454117,0.1538209032068654,-0.0715707237139169,-0.9473894182215367,0.8042479707937028
profile4,-0.7897233161272474,0.3466951082032857,-2.2778611449694606,0.0227896262260482,-0.1153799648900034,-0.7949023769684433,0.5641424471884366
age,-0.03525204320259381,0.016055141182004105,-2.1956856562623774,0.028174128746779332,-0.03562015471531337,-0.06708823143204141,-0.0041520779985853296
sex,-0.14249758446218744,0.032390239913960776,-4.399398857208477,1.11499950927763e-5,-0.07206151522839802,-0.13554638545976114,-0.008576644997034893
fas,0.11774254171562103,0.016327533527403446,7.211287701109717,6.644518473257655e-13,0.11468063063201012,0.08267866491829937,0.14668259634572087
profile1:sex,-0.43005305856963155,0.19444906441690063,-2.21164889560792,0.027049670690453942,-0.1253083032334188,-0.5064284694905441,0.25581186302370645
profile3:sex,0.1622170312165895,0.28249843577106937,0.5742227590528914,0.5658507389118514,0.02881791280860127,-0.5248790213026947,0.5825148469198972
profile4:sex,0.22319645682210068,0.21723920385363055,1.0274225501787604,0.3042863174174964,0.05199157120970481,-0.37379726834341104,0.4777804107628207
