term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6685686653802502,0.02828820410226031,-23.634185576553783,2.918402260299582e-121,-0.6685686653802502,-0.7240135454206804,-0.6131237853398199
profile1,0.3664662281723029,0.07608397778077067,4.816601850500552,1.4746256715660426e-6,0.06878022682775613,-0.08034436962255438,0.21790482327806665
profile2,0.3734625121857073,0.05958829900738139,6.267379979070141,3.77296798689297e-10,0.08247060133961627,-0.03432246471485126,0.1992636673940838
profile3,0.591355652098488,0.09594201437267903,6.163677675157148,7.290911867821218e-10,0.08698222356118353,-0.10106412460926738,0.2750285717316344
surveyyear2010,-0.08125296553023559,0.02267329536419261,-3.5836416464876315,3.399203546505939e-4,-0.03609539621710285,-0.08053505513092037,0.008344262696714663
surveyyear2014,0.07914982454829574,0.024629186106242325,3.2136597696273457,0.0013133433327905408,0.03150585920628933,-0.016767345561945625,0.07977906397452428
surveyyear2018,0.10150367411023066,0.022785587697918355,4.4547314493671735,8.46111139029906e-6,0.04448136832265002,-1.7838356526995308e-4,0.08914112021057
age,0.1262713513550977,0.008079223924898887,15.629143656477874,1.253473428692067e-54,0.12673846623484294,0.11090318734204113,0.14257374512764476
sex,0.39052919010101966,0.015575436568733244,25.07340249357656,6.348115659278116e-136,0.19564764307448856,0.1651197873997714,0.22617549874920573
fas,-0.04791182814659037,0.008045642216637167,-5.955003572929949,2.6592672340374073e-9,-0.0475519469501493,-0.06332140569475814,-0.03178248820554045
profile1:surveyyear2010,0.016844076943391555,0.10615273950582317,0.15867774135464066,0.8739249304814295,0.0017985343743368329,-0.20626083505707657,0.20985790380575023
profile2:surveyyear2010,0.3929999569361247,0.08517113856068856,4.614238620939571,3.978338941666085e-6,0.051293232474580036,-0.11564219910436954,0.21822866405352961
profile3:surveyyear2010,-0.05256856067599,0.1298665864171698,-0.4047889617050861,0.685638465411343,-0.004729645984051338,-0.25926815536170417,0.24980886339360148
profile1:surveyyear2014,-0.14374894944040936,0.12435579498806018,-1.1559489403305345,0.24772061338445442,-0.011529684446114356,-0.2552670426227123,0.2322076737304836
profile2:surveyyear2014,0.2706396159209851,0.0997899737004992,2.7120922662356732,0.006693684166895329,0.02681496823269168,-0.16877338022028676,0.2224033166856701
profile3:surveyyear2014,-0.08175599012132725,0.15821408984523083,-0.5167427894778721,0.6053434061344554,-0.005103495731833143,-0.3152031118284856,0.30499612036481927
profile1:surveyyear2018,-0.07075061791814659,0.11877836727521787,-0.5956523863828874,0.5514165372240174,-0.006098858668747556,-0.2389044585281746,0.22670674119067946
profile2:surveyyear2018,0.09592194312973837,0.12246487891352062,0.78326083347924,0.4334864315343545,0.007027078560214413,-0.23300408411028597,0.24705824123071482
profile3:surveyyear2018,0.030527452429833474,0.16783470492393193,0.18188998779286736,0.8556715411296303,0.0017341701786487858,-0.3272218514722578,0.3306901918295554
