term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.7241168702817448,0.02800072674313829,-25.860645579822066,2.824057795340338e-144,-0.7241168702817448,-0.7789982946982958,-0.6692354458651937
profile1,0.49791088176126397,0.0752781581476049,6.614280875270137,3.861252268784698e-11,0.09337812519608948,-0.05416706477321612,0.24092331516539509
profile2,0.6096365196275498,0.0589662916459614,10.338729172386472,5.720849495609967e-25,0.13435145703183407,0.01877752540574973,0.2499253886579184
profile3,0.7297901028259216,0.09538802263744497,7.65075197752804,2.1205200733789678e-14,0.1071025843420541,-0.07985794002733805,0.29406310871144625
surveyyear2010,-0.10202416740631674,0.022436852967783357,-4.5471692288045595,5.480208860209565e-6,-0.045277582645550124,-0.0892538144624055,-0.0013013508286947445
surveyyear2014,0.17859060483683992,0.024389977551281743,7.322294760679458,2.5628027486665964e-13,0.0709594264111804,0.023155070410668187,0.11876378241169261
surveyyear2018,0.23599059304588962,0.02256232408668109,10.459498415998675,1.625766483526774e-25,0.1032360730121224,0.05901391780222746,0.14745822822201735
age,0.12570669356046812,0.00800001857183424,15.71330021695764,3.41171384206194e-55,0.12598724843240527,0.11030721203161016,0.14166728483320037
sex,0.3890178064590803,0.015420912872120612,25.22663928426595,1.5792375489967017e-137,0.1946117017428963,0.1643867125135399,0.2248366909722527
fas,-0.04927134026586087,0.007976461526339738,-6.177092449221735,6.699502539978713e-10,-0.048769811717096385,-0.06440367630872228,-0.033135947125470494
profile1:surveyyear2010,-0.029131929903513168,0.1050271675316425,-0.27737518385170506,0.7814958955037785,-0.0031082239967595796,-0.20896147235877888,0.2027450243652597
profile2:surveyyear2010,0.1624381704140101,0.08426935914013,1.9276065710182342,0.05392312888069794,0.021184852554872124,-0.14398309135978268,0.18635279646952693
profile3:surveyyear2010,-0.20555777275539389,0.12882945431533482,-1.595580559180603,0.11060374890480193,-0.018480298379582434,-0.27098602883763867,0.23402543207847382
profile1:surveyyear2014,-0.3197281698820982,0.12304023052365985,-2.598566082990364,0.00937065144401619,-0.025625164868512396,-0.2667840166948857,0.2155336869578609
profile2:surveyyear2014,0.019977666180909844,0.09894454518770597,0.2019077064128251,0.8399916428135552,0.0019712204084575535,-0.19196008815944615,0.19590252897636123
profile3:surveyyear2014,-0.042455562422864336,0.15681620137768199,-0.2707345417748819,0.7865989705256646,-0.0026482351739351762,-0.31000798987419187,0.3047115195263215
profile1:surveyyear2018,0.18085105736763243,0.11752109174250165,1.538881699328423,0.12385448451855903,0.015578014747178213,-0.214763325068125,0.24591935456248143
profile2:surveyyear2018,-0.07415502607046535,0.1217357441101956,-0.6091475154851806,0.5424359831451977,-0.005394534919800114,-0.24399659337578347,0.23320752353618326
profile3:surveyyear2018,-0.15706809278821898,0.16631957301880781,-0.9443752766877134,0.34499327415387426,-0.008915857036795951,-0.3349022201536592,0.31707050608006737
