term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.2541026611707761,0.02643884589146676,9.610958897899122,8.337274244136962e-22,0.2541026611707761,0.20228252322350126,0.305922799118051
profile1,-0.07379756373202316,0.13503589410082842,-0.546503314718086,0.5847283469346894,-0.013962978326742904,-0.27863333076436664,0.2507073741108808
profile2,0.05971709006734366,0.11452711873113129,0.5214231417760367,0.6020799293280259,0.013234995465954646,-0.21123815724706269,0.23770814817897196
profile3,0.35769900497903934,0.1766744072830267,2.0246226404824843,0.04292426314547993,0.05272552318942323,-0.29355631508530905,0.39900736146415555
age,-0.14840602095498762,0.008169978074598813,-18.16480039480095,6.203653416420604e-73,-0.14944202611937546,-0.16545518314558913,-0.1334288690931618
sex,-0.13113722285305018,0.016648815835661426,-7.876669677140455,3.5977780201511294e-15,-0.0659764158537824,-0.0986080948916788,-0.033344736815886004
fas,0.14384653422701152,0.008011445112315376,17.955129469199925,2.5479652908997678e-71,0.14224359043071697,0.12654115801057883,0.1579460228508551
profile1:sex,-0.2510677477008253,0.0838200117408085,-2.9953198822876184,0.002746163280767938,-0.07662185984857443,-0.24090908286055907,0.08766536316341021
profile2:sex,-0.31655192142490185,0.07149515519703385,-4.427599612204699,9.59781440416313e-6,-0.1124611697240281,-0.2525916739102145,0.02766933446215826
profile3:sex,-0.518199935139148,0.10805887557055321,-4.795533290560734,1.6384107281959996e-6,-0.1250088034470177,-0.336804199565302,0.0867865926712666
