term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.786379620535785,0.04195921770972295,-18.741522446295804,1.0462227649342929e-76,-0.786379620535785,-0.868619687246842,-0.704139553824728
profile2,0.20722380945091862,0.07283883188561183,2.844963381295691,0.004453127283077354,0.04911999342150738,-0.0936441170742918,0.19188410391730656
profile3,0.06549966671194153,0.08735540248405517,0.749806707420266,0.4533935557389207,0.01182040987838615,-0.159396178990362,0.18303699874713428
surveyyear2006,0.28770368708027344,0.03727743677602153,7.717904232764657,1.3279793386986025e-14,0.10797643586278798,0.034912659781785774,0.18104021194379016
surveyyear2014,0.3476319099107369,0.03573139051888028,9.729033907232074,3.025544656107918e-22,0.15506382129998056,0.08503029588297521,0.2250973467169859
surveyyear2018,0.5167834387507715,0.03402845645399623,15.186802241512826,2.3043115203559683e-51,0.24103007139652,0.17433429674668738,0.3077258460463526
age,0.11361155664236663,0.011151554996816604,10.187956448656616,3.1720883126605725e-24,0.11398599490075187,0.09212894710699132,0.13584304269451242
sex,0.29755311513841853,0.021618468573681285,13.76383873465788,1.3080651165418074e-42,0.14909133763529392,0.1067191392308786,0.19146353603970923
fas,-0.023182406746287604,0.013000865089001551,-1.7831433975804745,0.0746015171621914,-0.023072239965380423,-0.04855393553982346,0.0024094556090626176
profile2:surveyyear2006,0.16017148512014404,0.1131608995194964,1.4154313530580254,0.15698165679853865,0.020920176469843697,-0.20087518658836923,0.24271553952805663
profile3:surveyyear2006,0.0743437766919899,0.15394616614116388,0.4829206115066155,0.6291655476207001,0.006481143484204255,-0.29525334215247695,0.30821562912088546
profile2:surveyyear2014,0.2704461711347362,0.1252778919928059,2.1587701296112694,0.030898156416789526,0.029135047956114407,-0.21640962034978514,0.27467971626201393
profile3:surveyyear2014,0.5298204397877182,0.1614481110338544,3.2816763007937517,0.0010364182259858666,0.0426083737174089,-0.2738299239089457,0.3590466713437635
profile2:surveyyear2018,0.29715170573569794,0.16431487906960937,1.8084284723224267,0.0705780164768031,0.021954087645206007,-0.3001030753312284,0.3440112506216404
profile3:surveyyear2018,0.24087445282994926,0.22303649316323665,1.0799777624447193,0.28018519904513733,0.012746357899630863,-0.424405168700313,0.4498978844995747
