term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.44715132424264226,0.02541739912258862,-17.592332011864098,8.646284877856968e-69,-0.44715132424264226,-0.496969426522916,-0.39733322196236853
profile1,0.3993793990258149,0.08241426969910892,4.845998156434954,1.2686263166461322e-6,0.06890588180971872,-0.09262608680053476,0.23043785041997222
profile3,0.4046633306960273,0.07794508393314611,5.191646609080683,2.1035621004737548e-7,0.07279008671792592,-0.07998227779104047,0.2255624512268923
surveyyear2006,0.014479449277992244,0.020924940280703953,0.6919708770373193,0.48896315844529936,0.006232353366419142,-0.03478052958376061,0.04724523631659889
surveyyear2010,-0.09934297708497244,0.022679643842992554,-4.380270597400362,1.1909741364125687e-5,-0.03783226051952645,-0.08228436245179185,0.0066198414127389554
surveyyear2014,0.12280112671610242,0.02241904454644345,5.477536139495452,4.3616691417565105e-8,0.04765599674215135,0.0037146694311221973,0.09159732405318051
surveyyear2018,-0.015172618031221824,0.021858216220841276,-0.694137978960749,0.4876032508079713,-0.0061368879081930075,-0.048978991701041905,0.03670521588465589
age,0.18895071943521666,0.006783100395783777,27.85609948404482,9.158796994443982e-168,0.18856297946314052,0.1752681026874043,0.20185785623887673
sex,0.2741593227722338,0.013195369850612313,20.776933566550376,6.113860238119377e-95,0.13703969389012718,0.11117676898292705,0.16290261879732731
fas,-0.035941137563021995,0.006745050123887505,-5.328520456169323,1.0002190637149218e-7,-0.035811188401679184,-0.04903148664449869,-0.022590890158859674
profile1:surveyyear2006,-0.029987809272427886,0.10742608905478183,-0.27914829196784435,0.7801337331521059,-0.0028902661999496647,-0.21344540074732207,0.20766486834742273
profile3:surveyyear2006,0.10458206475772862,0.10485113871604299,0.9974337526362678,0.3185653419400391,0.00987798017377153,-0.19563025170967271,0.21538621205721578
profile1:surveyyear2010,-0.08095625053135333,0.12087853033832652,-0.6697322535669912,0.5030357444553671,-0.006080393920445257,-0.24300231338356523,0.2308415255426747
profile3:surveyyear2010,-0.11300275349563892,0.11176174814301372,-1.0111040259591964,0.3119781253329724,-0.009380626607211178,-0.22843365296751805,0.2096723997530957
profile1:surveyyear2014,0.15143887274698814,0.12271860194418548,1.2340335560200166,0.2172040114752648,0.01104206027149279,-0.22948639953911074,0.2515705200820963
profile3:surveyyear2014,-0.08512650639192752,0.12185821621016905,-0.6985701008876554,0.4848283587243545,-0.00601434960058635,-0.2448564533725177,0.232827754171345
profile1:surveyyear2018,0.5592733663256915,0.1363947100175788,4.100403646546199,4.1395961994949696e-5,0.0339747304304015,-0.23335890120405295,0.30130836206485595
profile3:surveyyear2018,0.14979455117718068,0.12144733296613057,1.2334116157079846,0.21743583972731226,0.010632358935566931,-0.22740441367804898,0.24866913154918285
