term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5575887111716695,0.02538299894368491,-21.96701470967808,1.0441749497698604e-105,-0.5575887111716695,-0.6073393891012919,-0.5078380332420471
profile1,0.30488544690933767,0.05498016687415208,5.545371435616249,2.97023712003979e-8,0.057326686718809985,-0.050434440354528084,0.16508781379214804
profile3,0.29086631415426184,0.04691398596663434,6.199991498508113,5.756720368056283e-10,0.060380425512552266,-0.03157098698205103,0.15233183800715555
surveyyear2006,-0.013854051208660541,0.021303670249913934,-0.6503128825286109,0.5154975741056729,-0.005829844395863468,-0.047585038085694774,0.03592534929396784
surveyyear2010,0.06781944693769695,0.0219621266347672,3.088018208142704,0.0020177075611670842,0.027781668700505035,-0.015264099503638672,0.07082743690464874
surveyyear2014,-0.021835121585732375,0.023257550627526116,-0.9388401184383429,0.34782412510370253,-0.008017980976195159,-0.053602780206146346,0.037566818253756025
surveyyear2018,0.08616809680376826,0.023451951689421956,3.6742399074032943,2.3917843101844565e-4,0.030999366314521517,-0.014966458996745518,0.07696519162578855
age,0.08635936163006366,0.007127013749690807,12.117187459307234,1.1226444185310267e-33,0.08648040959933415,0.07251146264994017,0.10044935654872812
sex,0.334409186045522,0.013691872749920564,24.423918637971724,7.436202462043851e-130,0.16741681506699913,0.14058074447715482,0.19425288565684343
fas,-0.033989131415688795,0.007070411090543696,-4.807235531346611,1.5413848260417867e-6,-0.03380019021918849,-0.04765819595665413,-0.019942184481722844
profile1:surveyyear2006,0.0013744791187168645,0.09351721450256344,0.014697605419793466,0.9882735757039733,1.260078875329778e-4,-0.18316773253749136,0.1834197483125573
profile3:surveyyear2006,0.22824509867454823,0.08429225816323979,2.7077824660069063,0.00677917133399138,0.02256648917311868,-0.1426463368268313,0.18777931517306867
profile1:surveyyear2010,-0.01786033963724666,0.09705349990471528,-0.18402571421722555,0.8539951397909604,-0.001548968523983684,-0.19177382833722562,0.18867589128925827
profile3:surveyyear2010,0.32057077319314603,0.0951185190813301,3.370224602835178,7.524830467206956e-4,0.02678454256750735,-0.15964775483189964,0.21321683996691432
profile1:surveyyear2014,0.5739692755136376,0.14618093958002798,3.9264303346430016,8.65035808850098e-5,0.029188170176242523,-0.2573264714006123,0.3157028117530974
profile3:surveyyear2014,0.7906465848285048,0.1432582890099952,5.519028534351272,3.450913610845718e-8,0.040206903142311214,-0.2405793433172794,0.32099314960190184
profile1:surveyyear2018,0.845494614143388,0.21016332383770114,4.023035983178121,5.7662946274996774e-5,0.028615747116198586,-0.38330436760569564,0.4405358618380928
profile3:surveyyear2018,0.7054255688300488,0.20806765369741498,3.3903663365951293,6.993359938305021e-4,0.023875113276023558,-0.3839374879709098,0.4316877145229569
