term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.028454158643321775,0.044026133505740916,0.6463015572242202,0.5181081645207457,0.028454158643321775,-0.057837063027930416,0.11474538031457397
profile1,0.15952755037817107,0.13545505581587042,1.1777157332172479,0.2389554649641721,0.042393828223911856,-0.22309808117519414,0.30788573762301785
profile3,-0.37039294996081235,0.13225252466754206,-2.800649370527409,0.005115891070276855,-0.11734809208726717,-0.3765630404356496,0.14186685626111528
profile4,0.1925066648310664,0.12599786385995196,1.5278565757673457,0.1265995116278944,0.05685245136152451,-0.19010336180398132,0.30380826452703036
age,-0.22477532937392933,0.012283320666081203,-18.299231574619498,6.974935602478574e-73,-0.2253517830710119,-0.24942709157653103,-0.20127647456549275
sex,0.050072230549140846,0.027812281009442864,1.800364038179402,0.07185209296859027,0.025100925485289353,-0.029411145293218657,0.07961299626379736
fas,0.2114320681472376,0.011837854550796865,17.86067460450467,1.3287331289774687e-69,0.2116187806189052,0.18841658569934336,0.23482097553846706
profile1:sex,-0.3336899692488058,0.09312450172710213,-3.583267164496319,3.4194630305827757e-4,-0.12791156391370062,-0.3104355872988208,0.054612459471419544
profile3:sex,-0.02753197899011873,0.07802166800004269,-0.35287606245618414,0.7241934348843078,-0.014999662898617434,-0.1679221321787011,0.13792280638146626
profile4:sex,-0.36522394513421585,0.08072771730252927,-4.524145576488053,6.177845305707733e-6,-0.16901914879026997,-0.32724547470322735,-0.010792822877312591
