term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.7338236561937984,0.0471709190260913,-15.556696187918323,1.979781392837927e-53,-0.7338236561937984,-0.8262786574849373,-0.6413686549026595
profile1,0.3199396533028727,0.17236110725986659,1.8562172080996433,0.06347641965269334,0.07698961826592983,-0.2608381519634087,0.41481738849526834
profile2,0.7192604284655936,0.12316887451834103,5.839628163188978,5.533530890129092e-9,0.24740071489222296,0.005989720836274526,0.4888117089481714
profile4,-0.06077218337043153,0.16191006910401876,-0.37534529944143613,0.7074182551898418,-0.014684557039529039,-0.33202829248340576,0.3026591784043477
age,0.0430964617944924,0.013165147032105574,3.273526812073875,0.0010687527740220824,0.04307798130031369,0.017274293117386767,0.06888166948324062
sex,0.3877310113235398,0.029556049282062534,13.118499283287244,9.8847391344489e-39,0.19365482840488507,0.13572497181204252,0.2515846849977276
fas,0.00728057634358806,0.012750385397587478,0.5710083355571064,0.5680174843258488,0.007277518786177976,-0.01771323659309348,0.03226827416544943
profile1:sex,-6.003997286181662e-4,0.10647950365989167,-0.0056386413157589,0.9955012449110698,-2.3477746652024329e-4,-0.2089346046399079,0.20846504970686744
profile2:sex,0.042764609379261125,0.07513044329933595,0.5692048056854618,0.5692405651012347,0.024404893049656907,-0.12285077581704157,0.17166056191635537
profile4:sex,0.24014212561172335,0.1069949103461058,2.244425691230682,0.02484490152343554,0.08750707661409239,-0.12220294766427496,0.29721710089245973
