term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.5495594392135688,0.05393250239385325,10.18976340464044,4.2444089839384654e-24,0.5495594392135688,0.4438517345216164,0.6552671439055211
profile1,-0.6152534585456658,0.1429516093315109,-4.303928171377677,1.7169322274329637e-5,-0.21321405444495029,-0.49339920873471166,0.06697109984481109
profile3,0.4177905661819782,0.21236727153015444,1.9673020384530169,0.04921539322624299,0.09019001333534715,-0.32604983886375555,0.5064298655344499
profile4,-0.08727315298426316,0.1967509798850013,-0.44357163067382605,0.6573756125223584,-0.021189415271737396,-0.4068213358463399,0.3644425053028651
age,-0.15877584055199612,0.015155072616950933,-10.47674561284553,2.2957935219154986e-25,-0.1589813369254885,-0.18868527925471232,-0.12927739459626467
sex,-0.2867476988941041,0.033884483252683624,-8.462507654485005,3.590123161406278e-17,-0.1437403319498461,-0.210153919125106,-0.07732674477458619
fas,0.037610108930238396,0.0148377389767562,2.53476011332696,0.011289140041676962,0.037606218241421296,0.008524249846979144,0.06668818663586346
profile1:sex,0.054561968475599125,0.0867534637087411,0.6289312972999092,0.5294289028243975,0.031558175702548465,-0.13847861316658408,0.201594964571681
profile3:sex,-0.544265229716605,0.13768095828764798,-3.9530900749507176,7.844238807628788e-5,-0.18091125338113023,-0.4507659316249203,0.08894342486265983
profile4:sex,-0.1923415716368379,0.12229945110066215,-1.5727100155055114,0.1158627647142658,-0.07543968624523345,-0.3151466104025312,0.16426723791206435
