term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.675927456579996,0.04742245528417201,-14.253320553092438,4.333128148100863e-45,-0.675927456579996,-0.7688754689369731,-0.5829794442230188
profile1,0.05243318877419012,0.16179366022445413,0.32407443345709763,0.7458972131930636,0.013339323149497193,-0.30377625089043286,0.3304548971894273
profile3,1.2029942286796065,0.11461605483764038,10.495861425205312,1.8104558730042812e-25,0.45168112556025275,0.2270336580784776,0.6763285930420279
profile4,0.7167748396652618,0.1835524882659497,3.905012928109832,9.564405084145559e-5,0.16004793322736768,-0.19971494377389373,0.5198108102286291
age,0.12329252057085517,0.013193464811989604,9.344969068232379,1.4286146547750843e-20,0.12301658538949273,0.0971573943579931,0.14887577642099234
sex,0.25157919749841856,0.030192451557471422,8.332519703460873,1.0482798089905846e-16,0.12581846569255534,0.06664126063991135,0.18499567074519932
fas,-0.02419566525756055,0.012716141770333264,-1.9027520842846368,0.05713865519260345,-0.024195159074678223,-0.04911879694453142,7.284787951749756e-4
profile1:sex,0.43686144356385764,0.10108186169919574,4.321857910214306,1.5816641186251346e-5,0.17878424989574393,-0.019336199034679702,0.37690469882616756
profile3:sex,0.010519354775944364,0.06963830135348519,0.15105702711713118,0.8799377126207111,0.006632923184319415,-0.12985814746851154,0.14312399383715035
profile4:sex,-0.004105433219342225,0.11484237526726417,-0.03574841786220421,0.9714845983287439,-0.0014684440221270462,-0.2265594995459648,0.22362261150171073
