term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.585723666841172,0.022724173700440026,25.775355995885132,1.2064947594691796e-144,0.585723666841172,0.5411842863883096,0.6302630472940345
profile1,-0.16209943575180472,0.06589431893342469,-2.4599910641094778,0.013900647980509674,-0.025749958983593123,-0.15490282409310552,0.10340290612591928
profile2,-0.12780920219773018,0.05104085554929107,-2.504056815315381,0.012284041150901238,-0.027382634867653723,-0.1274227117442642,0.07265744200895677
profile3,-0.36361114428211466,0.046282049131995025,-7.856418440875565,4.108224179882122e-15,-0.08128911453387222,-0.17200193083258247,0.009423701764838033
surveyyear2006,-0.01622119681403958,0.01934072297511075,-0.8387068484934282,0.4016417152728008,-0.006673578400406395,-0.04458139543162346,0.031234238630810672
surveyyear2010,-0.3387807850001795,0.02100230509746727,-16.130647727855077,3.02425769457731e-58,-0.12512696077072505,-0.1662914787617609,-0.0839624427796892
surveyyear2014,-0.30741799315594737,0.02057121223798655,-14.944087378004543,2.782952352590975e-50,-0.11609470332253898,-0.1564142793089926,-0.07577512733608534
surveyyear2018,-0.3697065635455494,0.01973816441537973,-18.730544328502944,9.31561843380256e-78,-0.1492958033378698,-0.18798260559201407,-0.11060900108372552
age,-0.1343098657963496,0.006270841694805174,-21.41815602004643,7.048058164029134e-101,-0.13451409288101265,-0.1468049426028308,-0.12222324315919451
sex,-0.24424943089291443,0.012101336351999604,-20.183674247890405,6.896005939797458e-90,-0.12233416391785851,-0.14605278316777773,-0.09861554466793929
fas,0.07456903523203783,0.006242908875492254,11.944597737886738,8.480201725873165e-33,0.07467019550901628,0.062434094113051467,0.0869062969049811
profile1:surveyyear2006,-0.05459067694259668,0.1084488905484453,-0.5033769978330063,0.6147035992809162,-0.00386828326119815,-0.21642810873615093,0.20869154221375463
profile2:surveyyear2006,-0.028660444115423275,0.08487295686845227,-0.33768641005220495,0.7356023034095625,-0.0025970681521227923,-0.16894806361428924,0.16375392731004365
profile3:surveyyear2006,0.10538873427059176,0.07083412886058928,1.487824244694396,0.13680964540075574,0.012120027389100061,-0.12671486517765493,0.15095491995585505
profile1:surveyyear2010,-0.15240744967723271,0.11805965351736644,-1.2909359390489297,0.19673762373012613,-0.009503137971070484,-0.2409000588651087,0.22189378292296771
profile2:surveyyear2010,-0.18721600116344134,0.09312688800632578,-2.0103324095907125,0.04440655405024462,-0.014776461443686977,-0.1973051619360855,0.16775223904871156
profile3:surveyyear2010,0.057798457235388456,0.08343271195425314,0.6927553459736493,0.48846942371202795,0.0051248651283825955,-0.15840325030195357,0.16865298055871875
profile1:surveyyear2014,-0.2301221052843484,0.11176722126616248,-2.0589409191478025,0.039510055918368196,-0.015593382845343631,-0.23465713652702208,0.20347037083633485
profile2:surveyyear2014,-0.006287859147312587,0.08873149395283153,-0.07086389360980588,0.943506636891972,-5.336124732493429e-4,-0.17444734062079914,0.17338011567430045
profile3:surveyyear2014,0.11248844441902914,0.0801696679827297,1.4031297278574435,0.16059036327191126,0.010594132037511653,-0.14653841720863858,0.16772668128366186
profile1:surveyyear2018,-0.013891248843093701,0.12176827781058158,-0.11407937348594546,0.9091757733492505,-8.26005294244549e-4,-0.23949182980298445,0.23783981921449537
profile2:surveyyear2018,-0.0044394677820789215,0.07760962545445396,-0.0572025410003334,0.954384303332697,-4.695690489901149e-4,-0.15258443493971988,0.15164529684173964
profile3:surveyyear2018,0.19335353444268027,0.11322091313820717,1.70775459306406,0.08769408925982315,0.011369224791737569,-0.21054376495914848,0.23328221454262363
