term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.4954049482959024,0.020706803586918728,-23.924742716392426,4.097157888590496e-125,-0.4954049482959024,-0.5359902833262631,-0.4548196132655417
profile1,-0.015557944224175385,0.1224463201484514,-0.127059304071476,0.8988944661239697,-0.002470250244248124,-0.24246503773521288,0.23752453724671663
profile2,0.09335131692818181,0.09068436924403153,1.0294091220613062,0.30329726037348836,0.020005848172857596,-0.15773551554544418,0.1977472118911594
profile3,0.04231168052962034,0.08297508752666455,0.5099323398245675,0.6101032921446632,0.009454542583349228,-0.15317662896891326,0.17208571413561174
age,0.13667351304195618,0.006262876161340397,21.822803057422256,1.288284685722933e-104,0.13666704381183797,0.1243918065356108,0.14894228108806515
sex,0.2974713958403088,0.012962764515242779,22.948144702506575,2.2903413061680726e-115,0.14881488826079708,0.12340786981092124,0.17422190671067292
fas,-0.019040305375581677,0.006075138345232088,-3.1341352729069882,0.001725574313508805,-0.019025259523690934,-0.030932530680345825,-0.007117988367036043
profile1:sex,0.2723959165262768,0.0764341580278585,3.563798222608729,3.6619650988066476e-4,0.06937368178836134,-0.08043726794624131,0.219184631522964
profile2:sex,0.15975932427778763,0.05667392593025797,2.8189210762350383,0.004822260869099306,0.05494121031193404,-0.05613968451137158,0.16602210513523966
profile3:sex,0.2147700374481475,0.05506628588603433,3.9002092476808308,9.635670826193036e-5,0.07207551386724495,-0.03585440646938233,0.18000543420387222
