term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5624179885411067,0.055107401383617825,-10.205852107341443,3.719878956981495e-24,-0.5624179885411067,-0.6704284952529976,-0.45440748182921575
profile2,0.7677959124999455,0.13492173263090854,5.690676346414299,1.3574228906339361e-8,0.29434778877687645,0.02990119282029574,0.5587943847334571
profile3,0.06798754407506327,0.21472680690541904,0.3166234577549035,0.7515461080969755,0.015245818494804761,-0.40561872303981655,0.4361103600294261
profile4,0.1256399051304688,0.24321118658486968,0.5165876902895918,0.6054730034456381,0.02525291996085654,-0.451441005745488,0.501946845667201
age,0.10718774419135271,0.015213480210615221,7.045576863902735,2.1701429606034126e-12,0.10703392265532477,0.07721550144251893,0.1368523438681306
sex,0.24667823061837513,0.03453759661918205,7.142310257957295,1.087908237410466e-12,0.12318142315648839,0.05548773378289157,0.1908751125300852
fas,-0.028695335938422762,0.014741404508244132,-1.9465808649626901,0.05165598629379736,-0.02873313413654291,-0.057626286972701404,1.6001869961558904e-4
profile2:sex,-0.007289849913560978,0.08018210002830006,-0.0909161759418629,0.9275638184697774,-0.004800787050815388,-0.1619577031062835,0.15235612900465273
profile3:sex,0.37233295777934405,0.13280421538449244,2.8036230378785207,0.005077924401891118,0.13518608123521356,-0.12511018091839163,0.3954823433888187
profile4:sex,0.12026558579269293,0.14872158735373422,0.8086626019304198,0.4187580706486229,0.039657475109044785,-0.2518368361042743,0.33115178632236386
