term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5668970122655682,0.05292473760021547,-10.711380688324098,2.073124353966513e-26,-0.5668970122655682,-0.6706294979619906,-0.4631645265691459
profile2,1.0674788237015351,0.12948355059637032,8.244126908668958,2.2423924488317257e-16,0.41032676427262094,0.15653900510373514,0.6641145234415067
profile3,0.5294349489067601,0.20604904211040653,2.56946085982324,0.010222179682005748,0.11904637381456712,-0.2848097487218297,0.5229024963509639
profile4,0.14035183660461953,0.2333828988076479,0.6013801239151471,0.5476214582352624,0.028286958673620192,-0.4291435229893697,0.4857174403366101
age,0.12625563527519756,0.014600154415573365,8.647554791648371,7.541524239969337e-18,0.12640448761093015,0.09778818495640636,0.15502079026545396
sex,0.21324305505764357,0.03315972463861954,6.430784856677899,1.4213605789345097e-10,0.10673032464265438,0.04173726435096008,0.1717233849343487
fas,-0.035583860739843556,0.014157580360826883,-2.5134140038718633,0.011996504894237679,-0.035697982081486716,-0.06344683958870741,-0.007949124574266025
profile2:sex,-0.05743247803740376,0.0769476268685795,-0.7463840065593436,0.4554800431815125,-0.03792367651677838,-0.18874102517919422,0.11289367214563745
profile3:sex,0.1366480228073603,0.12743664686042103,1.0722820018721013,0.28365911122389503,0.049749296924801456,-0.20002653092162376,0.29952512477122667
profile4:sex,0.23747457341840195,0.1427108506927312,1.6640260517380365,0.09618680510815722,0.078520969075155,-0.20119229828259816,0.35823423643290814
