term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.18819426889414098,0.057297686901193856,3.284500283906221,0.0010307305044448118,0.18819426889414098,0.07589080256780102,0.30049773522048095
profile2,-0.5246114501277512,0.1407913525036857,-3.7261624439186893,1.9719380186792327e-4,-0.20069321363228043,-0.4766442645395044,0.07525783727494356
profile3,-0.48826793451649536,0.22433876424872623,-2.176475992241576,0.029579985812378667,-0.10928405954070826,-0.5489880374682117,0.33041991838679513
profile4,-0.4941639096639603,0.25668098194851796,-1.925206557621296,0.054276763587204666,-0.09860330300966888,-0.6016980276287641,0.4044914216094263
age,-0.18519052021417637,0.01579854386495401,-11.721999305580653,3.2957038636554327e-31,-0.18496723216198166,-0.21593237813729152,-0.1540020861866718
sex,-0.05092331568542546,0.03591261218780929,-1.417978603703788,0.15627756600759518,-0.025387132948324034,-0.09577585283643025,0.04500158693978218
fas,0.12166063300761328,0.015364672353643612,7.918205491623283,3.12307089828172e-15,0.12143830917936824,0.09132355136622676,0.15155306699250973
profile2:sex,0.09894242532371574,0.0835665700747313,1.1839952894468952,0.23648768061217615,0.06510800579461555,-0.09868247155185779,0.2288984831410889
profile3:sex,-0.030841814770115872,0.1383267507906109,-0.2229634874949242,0.8235756969735007,-0.011212341168978027,-0.2823327727185754,0.25990809038061935
profile4:sex,0.10201236831502576,0.15601471057297486,0.6538637795139847,0.5132384408024291,0.03360067665504864,-0.2721881560679821,0.3393895093780793
