term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.523856225676209,0.05325542331435638,9.836673770931984,1.3431300885860837e-22,0.523856225676209,0.41947559598007056,0.6282368553723475
profile1,-0.6957073529253653,0.12848763229240037,-5.414586139638237,6.473509703248754e-8,-0.2725716581494387,-0.5244074174425434,-0.02073589885633398
profile2,0.4783422442672563,0.3645118423905033,1.3122817660195685,0.18949419350682772,0.06948764645640301,-0.6449555646289835,0.7839308575417896
profile3,-0.5084908330320016,0.22982779568952028,-2.2124862291197087,0.02698474235403751,-0.10251434272369402,-0.5529768222751538,0.3479481368277657
age,-0.07794979098268431,0.01502827740348382,-5.1868746423734615,2.235581767428187e-7,-0.07767095120775103,-0.10712637491857932,-0.04821552749692274
sex,-0.2717910916660947,0.03374875034961266,-8.053367572148167,1.030388198143428e-15,-0.13514636908552383,-0.20129391977076463,-0.06899881840028302
fas,0.09555712508942474,0.014587399957252865,6.550661897901392,6.39301630361949e-11,0.09515609309509084,0.06656478917887522,0.12374739701130645
profile1:sex,0.15229942967235788,0.07669246792499675,1.985845987135305,0.04711298613218058,0.10236028566989316,-0.047956951463100445,0.2526775228028868
profile2:sex,-0.47309694261986146,0.21128466689061992,-2.2391447026526508,0.025196761667356883,-0.11892600071489991,-0.533043947820515,0.29519194639071517
profile3:sex,-0.027957182507927045,0.14451933612108833,-0.19344942523471445,0.8466160258844228,-0.008974384790651742,-0.2922322835879849,0.2742835140066814
