term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6823502941761299,0.028247599000362927,-24.15604576400858,3.6637111093675558e-127,-0.6823502941761299,-0.7377155882168412,-0.6269850001354186
profile1,0.19239104447247699,0.08981620751406329,2.142052640581074,0.03220084726461867,0.027387845312705817,-0.14865192141485822,0.20342761204026988
profile2,0.18813379314174844,0.08233191678430703,2.2850651422900907,0.02231904758413286,0.034012208554813406,-0.12735834834242837,0.19538276545205518
profile4,0.45822533514230074,0.0701923588994104,6.528136998486736,6.813259779352432e-11,0.07953435337948978,-0.05804267006335462,0.21711137682233417
surveyyear2006,-0.02902301309244076,0.025436222287180867,-1.1410111440592157,0.25387844935219817,-0.011355042761856659,-0.061210038444731156,0.03849995292101784
surveyyear2010,0.006657328365092627,0.025652627976020626,0.25951837649209725,0.7952378789269248,0.0026301738094751336,-0.047648977023525295,0.05290932464247556
surveyyear2014,0.06932040348309959,0.025011033024722254,2.771592977170498,0.005583240691288985,0.02843983126614508,-0.020581793462310535,0.07746145599460069
surveyyear2018,0.12405617997304112,0.02369425708855854,5.235706673957938,1.6595566942080864e-7,0.05590046860593649,0.009459724712361756,0.10234121249951122
age,0.11483238611356925,0.006839544902319858,16.789477626591797,7.573865428559355e-63,0.11557541457289977,0.10216990656435285,0.1289809225814467
sex,0.3938340618648559,0.013295508485094712,29.621587042449274,6.6464375177039515e-189,0.19797117480778248,0.17191197817699685,0.2240303714385681
fas,-0.0482693609728259,0.006865801119434673,-7.030404774789105,2.1232488423970058e-12,-0.048456003873025434,-0.06191297406711739,-0.03499903367893348
profile1:surveyyear2006,0.01666049885098301,0.13503288494814636,0.12338104793792094,0.9018065585393016,0.0011137431165828288,-0.263550711381784,0.2657781976149497
profile2:surveyyear2006,0.03814843964267253,0.11282892540937503,0.3381086853770811,0.7352847050366695,0.003357569146160602,-0.21778712465621447,0.22450226294853565
profile4:surveyyear2006,-0.06346819247554134,0.10887298667380736,-0.5829562907619811,0.5599290579199825,-0.005153073939342726,-0.21854412782000515,0.2082379799413197
profile1:surveyyear2010,0.170425209434841,0.13709308812269846,1.2431349513573597,0.2138321493693967,0.011080237159848596,-0.2576222155606404,0.27978268988033755
profile2:surveyyear2010,-0.03460287297993343,0.11187348175581666,-0.3093036208121262,0.7570936814971205,-0.003101638672077133,-0.22237366291347777,0.2161703855693235
profile4:surveyyear2010,0.10412113199378797,0.11230775154867219,0.9271054807705211,0.35388255027235305,0.008009525667273865,-0.21211366736812362,0.22813271870267135
profile1:surveyyear2014,0.15879330031512756,0.13570442700449972,1.1701408997501772,0.24195770642553874,0.010499715694015309,-0.2554809612348041,0.27648039262283475
profile2:surveyyear2014,0.2578123840374147,0.12883638267562667,2.001083689896144,0.045396367619752326,0.017512058714190492,-0.2350072513300378,0.27003136875841877
profile4:surveyyear2014,0.13800508947490026,0.12044645722521592,1.1457795659099583,0.2518995814381175,0.009471779965813127,-0.22660327619561008,0.24554683612723635
profile1:surveyyear2018,0.3814185384112324,0.1832142750629073,2.081816704949824,0.037371436526565535,0.015971406537319988,-0.34312857258597834,0.3750713856606183
profile2:surveyyear2018,0.10295809459795441,0.11833415746386915,0.8700623455183725,0.3842763952676944,0.008142724846895813,-0.2237922237822877,0.24007767347607933
profile4:surveyyear2018,0.3940970676053522,0.12884398966181285,3.0587151844627782,0.002225715214332084,0.024420596970050855,-0.22811362276710231,0.276954816707204
