term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6140668998829845,0.02237306746298594,-27.446701302756015,6.104280416849468e-163,-0.6140668998829845,-0.6579181121104369,-0.570215687655532
profile1,0.030991845381236616,0.1512033393556381,0.20496799550400266,0.8375991385486349,0.004411847077310462,-0.2919466980597402,0.30077039221436114
profile2,-0.0511646083789482,0.11881975857531042,-0.4306069040404506,0.6667586884918366,-0.009249913594730845,-0.24213664040233926,0.22363681321287757
profile4,0.2718419208308007,0.12449294763984348,2.1835929342538822,0.0290033236791125,0.04718371014558134,-0.19682246722851188,0.29118988751967456
age,0.10960944130551982,0.0068242413221244365,16.061776852785385,1.0529663526672176e-57,0.11031867445008561,0.09694316145872171,0.12369418744144951
sex,0.37950942044277464,0.013912655095420912,27.278001060177434,5.286641450663823e-161,0.19077051248415952,0.16350170849713452,0.21803931647118452
fas,-0.04033452901514714,0.006668993954649601,-6.048068012871123,1.4909996031454841e-9,-0.040490490339719215,-0.05356171849083243,-0.027419262188606
profile1:sex,0.1598964799599124,0.09414889705949717,1.6983361988708823,0.089459304401472,0.03658272849850449,-0.14794910973810996,0.22111456673511895
profile2:sex,0.18292364614416176,0.07413069246385284,2.467583130069342,0.013610864186521293,0.0530745260370721,-0.09222163119207946,0.19837068326622367
profile4:sex,0.15904589066056724,0.07727769631510029,2.0581085907641015,0.039592158960624485,0.044510330448268846,-0.1069539543293277,0.1959746152258654
