term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.553782557798456,0.02231800236366933,-24.813267279688912,5.74904004138434e-134,-0.553782557798456,-0.5975258424312478,-0.5100392731656641
profile1,-0.24072688021098684,0.15079661245793016,-1.5963679573912564,0.11042188363503673,-0.03421113049736901,-0.3297724909149121,0.2613502299201741
profile2,-0.04604725686824164,0.11850046816398936,-0.38858291095118863,0.6975886944434075,-0.008310760210965194,-0.24057167781238434,0.22395015739045396
profile4,0.54654933514768,0.12399525778032523,4.407824500159255,1.0493760461703152e-5,0.09477723050453728,-0.1482534747449002,0.3378079357539747
age,0.12792194839854304,0.006806359773795862,18.794473499775314,3.7330660768394146e-78,0.12852460073557637,0.11518413557893648,0.14186506589221626
sex,0.33527687372032217,0.013877758246701892,24.159296318625678,3.389322921859335e-127,0.16822788564150837,0.14102747947797267,0.19542829180504406
fas,-0.06020587699926359,0.006652405214284823,-9.050241989165436,1.549227191043094e-19,-0.06032580813974147,-0.07336452235973973,-0.047287093919743214
profile1:sex,0.4442447493813394,0.09389572891655945,4.731256197777835,2.2460295511700566e-6,0.10146808107266622,-0.08256754760379029,0.28550370974912276
profile2:sex,0.28166708529698276,0.07393155673861203,3.809835714576226,1.3945983906977312e-4,0.08158711164254939,-0.06331873956513018,0.22649296285022896
profile4:sex,-0.0031226560376150145,0.07700440209410463,-0.04055165617413555,0.9676537150908824,-8.726787349436298e-4,-0.1518013068393887,0.15005594936950145
