term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.39916453189782297,0.022647226255082035,17.6253165576182,5.010776364687896e-69,0.39916453189782297,0.3547759684378622,0.44355309535778376
profile1,-0.1809680711934066,0.15227022533190876,-1.1884665619883608,0.23466323330896394,-0.02575429149555899,-0.32420393314610013,0.2726953501549822
profile2,9.215003305830621e-4,0.12000269188127165,0.007678997163620103,0.9938731806771006,1.660893321732407e-4,-0.23503918675511917,0.23537136541946566
profile4,-0.24460669834477342,0.12575183239079327,-1.9451541476121021,0.051769903170066495,-0.04226583727857675,-0.28873942876453157,0.20420775420737805
age,-0.08078870337268128,0.00690760871404056,-11.695610842644916,1.6850136681761057e-31,-0.0810669610018755,-0.09460587408139501,-0.067528047922356
sex,-0.24389788231849974,0.014091942493022879,-17.30761266157998,1.2098321401580618e-66,-0.12216773701617928,-0.1497879443025041,-0.09454752972985443
fas,0.1270080392578664,0.00675549418824038,18.80070291215046,3.3240957031462565e-78,0.12703261024306467,0.11379184163411353,0.14027337885201582
profile1:sex,-0.06512452089067917,0.09501467509528452,-0.6854153932049938,0.49308948202173697,-0.014863664000767276,-0.20109242718752493,0.17136509918599038
profile2:sex,-0.13903862419095886,0.07502287505798788,-1.85328306977693,0.06385596686458363,-0.04013379445704133,-0.18717862957069756,0.10691104065661491
profile4:sex,-0.13936519962927746,0.07829767347415076,-1.7799404943403276,0.07510031443348139,-0.03870495808611459,-0.19216839809545008,0.11475848192322088
