term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.12889838387442562,0.02231505902750609,5.776295895768965,7.745838860145411e-9,0.12889838387442562,0.08516086818051369,0.17263589956833755
profile1,0.06920994670207944,0.15152695974809677,0.45675005172106836,0.6478555086889319,0.009805186609332118,-0.28718765449693756,0.3067980277156018
profile2,-0.023229649464509488,0.11853427268355972,-0.19597411734683345,0.8446323503525371,-0.004189053481474166,-0.2365162279412512,0.22813812097830288
profile4,-0.06263670822402102,0.12414583300964882,-0.5045413664359785,0.6138863773749069,-0.01085770708308648,-0.25418353978199815,0.2324681256158252
age,-0.1781090820517316,0.006804178399939368,-26.176427421908677,1.2948580999161937e-148,-0.17912498820634065,-0.19246117787022182,-0.16578879854245948
sex,-0.061496852322495875,0.013877172183340917,-4.431511802982512,9.405559673004412e-6,-0.03087656979269895,-0.058075827272047145,-0.0036773123133507536
fas,0.1547654436819807,0.006657601527292406,23.246426366542032,5.0352862152981315e-118,0.15507115832363869,0.14202225933014556,0.1681200573171318
profile1:sex,-0.29004235046747784,0.09427546560745784,-3.076541161569543,0.0020969093474837016,-0.06609798751934008,-0.2508779001099574,0.11868192507127727
profile2:sex,-0.1774058731346572,0.07403470648241045,-2.39625280579462,0.016572490275064286,-0.05128339485516527,-0.19639141956068973,0.0938246298503592
profile4:sex,-0.27088739129701384,0.07709498858715895,-3.5136835254961465,4.4288286409181076e-4,-0.0756831598417196,-0.22678933747255114,0.07542301778911194
