term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5155747886221353,0.04853530802991989,-10.622674699093412,4.358600378298141e-26,-0.5155747886221353,-0.6107039923607783,-0.4204455848834924
profile1,-0.12796149034125334,0.14172639647311494,-0.9028769059652711,0.36663366137451947,-0.035502203637604285,-0.31328594072490956,0.24228153344970102
profile3,0.8094777717485823,0.11559485775412104,7.002714372211975,2.834210868753478e-12,0.301194360175372,0.07462843897729476,0.5277602813734492
profile4,-0.22836047671092458,0.1535807135069761,-1.4869085544426237,0.13710048076672884,-0.057261170935406086,-0.35827936940907923,0.24375702753826708
age,0.13162772403195297,0.013026299877549937,10.104766915339146,8.778058085434836e-24,0.13174313657692194,0.10621158881692407,0.15727468433691982
sex,0.18887983658975163,0.030390552722974633,6.215083954263272,5.535519669304299e-10,0.0945629354205411,0.03499745208351082,0.15412841875757138
fas,-0.02404586232561796,0.012701792363272678,-1.893107810134477,0.058399818267170556,-0.023908207585919553,-0.048803720617934004,9.873054460948945e-4
profile1:sex,0.39121813516757065,0.09239099182184396,4.234375315744528,2.3320096088000035e-5,0.16632410313076673,-0.01476224084004743,0.34741044710158087
profile3:sex,0.0884655560467172,0.06979543690240607,1.2674977043329823,0.20503497021527878,0.05543000225096697,-0.08136905407774891,0.19222905857968287
profile4:sex,0.5734026506219125,0.10581733101552443,5.4187971395516374,6.274534017137143e-8,0.20679243168413727,-6.095371062906085e-4,0.4141944004745651
