term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5771872881401221,0.05501065869250475,-10.492280984426102,2.0809647996370574e-25,-0.5771872881401221,-0.6850081791774314,-0.4693663971028128
profile1,0.0860711764786897,0.1948007702302997,0.44184207473581133,0.6586286649208446,0.022172577236291627,-0.3596369324150958,0.40398208688767906
profile2,-0.057813421896875966,0.27156320139683227,-0.21289122237292327,0.8314232435572362,-0.010497675114567456,-0.5427615498523587,0.5217661996232238
profile3,0.2815202734131884,0.3018254212014344,0.9327255215699853,0.3510210401418632,0.04540332908027006,-0.5461744964745414,0.6369811546350814
age,0.03349163594471599,0.016294460008699625,2.055400174466339,0.03990865259272325,0.033524750989475445,0.0015876093724241785,0.06546189260652671
sex,0.3493060809069655,0.0339982786969838,10.274228410803476,1.919069104891628e-24,0.17489717195580629,0.10826054570971805,0.24153379820189452
fas,-0.057052607493822544,0.0158508729369317,-3.5993353628425706,3.2310759792256665e-4,-0.057107067350481225,-0.08817477830686736,-0.026039356394095093
profile1:sex,0.17972574225578064,0.122814854845711,1.4633876535665433,0.14344415197870836,0.07348369330244728,-0.16723342219514628,0.31420080880004086
profile2:sex,0.22857094757135085,0.17446791104353887,1.3101030797251332,0.1902402584479531,0.06466240536832628,-0.27729470027700986,0.40661951101366245
profile3:sex,0.07319230194825106,0.1971900136128803,0.3711765145061595,0.7105267834858121,0.01807023658515379,-0.3684221900960916,0.40456266326639917
