term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.6512033084097456,0.05479084569748448,11.885257475404202,5.316826522434639e-32,0.6512033084097456,0.5438132508426761,0.7585933659768151
profile1,0.11987832093464491,0.19228259014503213,0.6234486483889407,0.5330279395627701,0.03097552190086182,-0.34589835478340114,0.4078493985851248
profile2,-0.4565012927103488,0.2714138372490423,-1.6819381699079516,0.09266471650947952,-0.0826629455108779,-0.6146340665190008,0.44930817549724494
profile3,0.5472030520270255,0.30266876198779114,1.8079270831692178,0.0706985390069257,0.08772527558848059,-0.5055054979075899,0.6809560490845512
age,-0.10758030746046203,0.016085292892643467,-6.688116167885471,2.5983597868810366e-11,-0.10809167024098089,-0.1396188443105621,-0.0765644961713997
sex,-0.40098134764040744,0.03376660391078318,-11.875086659584273,5.978120661905722e-32,-0.20047027685072805,-0.2666528205158631,-0.134287733185593
fas,0.11748405556669576,0.015772713307316045,7.448563432152269,1.1665262586839766e-13,0.11720819962816875,0.08629368154582931,0.1481227177105082
profile1:sex,-0.26441218358340846,0.1213405967346305,-2.179090845924161,0.029387427971593855,-0.10832070701836628,-0.34614827661824205,0.1295068625815095
profile2:sex,0.12257491221581557,0.17317503185367172,0.7078093816629876,0.47910795827479824,0.03482056032341424,-0.30460250210978235,0.3742436227566108
profile3:sex,-0.523070530273376,0.196036602404762,-2.668228911626301,0.00765828816386131,-0.12948283335767108,-0.5137145740710046,0.25474890735566247
