term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.2939938856836329,0.05449779128301444,5.394601850135222,7.289573941060502e-8,0.2939938856836329,0.18717821476892457,0.40080955659834117
profile1,-0.07020160342529162,0.19406760418099986,-0.3617378785168962,0.7175681800789664,-0.017991088975100746,-0.3983635931698605,0.36238141521965894
profile2,0.04133012254006972,0.269783188505897,0.15319754640369787,0.8782506870512365,0.007477356267462467,-0.5212976932040956,0.5362524057390206
profile3,-0.30628445239591695,0.2981761180850157,-1.0271931044074745,0.30439540902970363,-0.04940383603589929,-0.63382902748253,0.5350213554107315
age,-0.19301777028996392,0.01611902767906646,-11.974529365728008,1.8595514240166354e-32,-0.19287436251122492,-0.22446765676219518,-0.16128106826025465
sex,-0.1693993465704597,0.033677088921761446,-5.030106579698975,5.130444317656073e-7,-0.08457055311865985,-0.15057764740531226,-0.018563458832007426
fas,0.12776840659462868,0.015771764984891117,8.101084863807381,7.285178267393445e-16,0.12698697106897341,0.09607431169858682,0.15789963043936
profile1:sex,-0.13269322362667962,0.12197589570605398,-1.0878643100637932,0.2767245184617558,-0.05415271356091247,-0.29322546914477826,0.1849200420229533
profile2:sex,-0.2854079956658108,0.17294131653621073,-1.6503170056881789,0.0989613711655022,-0.08063104478382144,-0.41959602519479444,0.25833393562715157
profile3:sex,0.0035292349183672534,0.19480540509000174,0.018116719691307934,0.985546697930609,8.714462353089019e-4,-0.3809471477410945,0.38269004021171227
