term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.12268551271193212,0.026518570583074996,4.626399915772004,3.746710000565898e-6,0.12268551271193212,0.07070911436910512,0.17466191105475912
profile2,-0.034856118231101525,0.10394173456278692,-0.33534285701232336,0.7373703801163936,-0.005670054747734429,-0.2093958544907968,0.19805574499532794
profile3,-0.026228707321561292,0.09330768600860916,-0.2810991081607282,0.7786376193978081,-0.004864881766862794,-0.18774794634373673,0.17801818281001117
profile4,-0.23523213079304225,0.06675925748811667,-3.523588183030858,4.268021075773499e-4,-0.05499877021239941,-0.1858469148891081,0.07584937446430928
surveyyear2010,-0.11344997350998491,0.020558409001921383,-5.518421853528739,3.4678072213986394e-8,-0.051383246797953,-0.09167772844171891,-0.011088765154187094
surveyyear2014,0.18571732403940044,0.022141459137626805,8.387763556368139,5.317101143984417e-17,0.07578194614695738,0.032384686237208846,0.11917920605670591
surveyyear2018,0.23768745038027597,0.02115114755211447,11.237567597438204,3.3362583232769945e-29,0.10292073241728213,0.06146448321513776,0.1443769816194265
age,-0.1660896621916241,0.007335054752774799,-22.643275038784623,5.95224229398026e-112,-0.16637681382662495,-0.18075352114206356,-0.15200010651118634
sex,-0.10427120534313883,0.014235468514494696,-7.324747003371813,2.494712962070469e-13,-0.05215659269177805,-0.08005811098018766,-0.024255074403368448
fas,0.1776478723720883,0.007164383358922749,24.795975239214414,1.7180177573680193e-133,0.17732192919388,0.16327973781039143,0.1913641205773686
profile2:surveyyear2010,-0.14496327708051535,0.12283515825973743,-1.18014483096108,0.23795822797355293,-0.015917996541252467,-0.2566749067303378,0.22483891364783287
profile3:surveyyear2010,-0.21194042220584722,0.11484794109158958,-1.8454002761514705,0.06499576297597613,-0.022741409083399642,-0.2478433736229152,0.20236055545611592
profile4:surveyyear2010,0.018019498348590027,0.08461528996007817,0.2129579459822415,0.8313621785426002,0.002495667117268452,-0.16335030120448474,0.16834163543902164
profile2:surveyyear2014,-0.27561255517660793,0.14123669396063046,-1.9514231567430669,0.05102223373916833,-0.02062074003745015,-0.2974446602002858,0.25620318012538557
profile3:surveyyear2014,-0.360430370722589,0.12639811773820198,-2.851548560787264,0.004355639476145224,-0.030334939871501303,-0.2780752506383772,0.21740537089537457
profile4:surveyyear2014,-0.05071329350043841,0.08970785136788514,-0.5653161092050574,0.5718658264523682,-0.006129093945777626,-0.1819564826268325,0.16969829473527726
profile2:surveyyear2018,-0.2981533980863795,0.14778388706200707,-2.017495980203041,0.04365860691509123,-0.020232130757206063,-0.3098885493987399,0.2694242878843278
profile3:surveyyear2018,-0.2954928620676713,0.11606688351626154,-2.5458843480213824,0.010908399189263323,-0.030793350677262243,-0.25828444236913484,0.19669774101461038
profile4:surveyyear2018,-0.057760266948674914,0.09442477398770484,-0.6117067005762274,0.5407395612965673,-0.006197731635027122,-0.1912702886509286,0.17887482538087435
