term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5653794116222566,0.025041497011876804,-22.577700181187478,2.507491128280379e-111,-0.5653794116222566,-0.6144607457655351,-0.516298077478978
profile2,0.14281583941606218,0.1389762873172986,1.0276273900596973,0.3041389321616631,0.02325120444331033,-0.24914231869859496,0.29564472758521565
profile3,0.27548737952702307,0.12265253452148596,2.2460797944518944,0.024710964540332742,0.05117844608671088,-0.1892205215754016,0.29157741374882334
profile4,-0.14009053002402483,0.09547415452051618,-1.467313648678828,0.14230820948897507,-0.0328115590819658,-0.21994090194217752,0.1543177837782459
age,0.06321682622274023,0.007476524364743388,8.455376206736936,2.9917018259690815e-17,0.06336005507056518,0.048706067315668136,0.07801404282546222
sex,0.3499515930690724,0.01549796791507477,22.58048248562167,2.3586050010044677e-111,0.17529302446146625,0.1449170073479197,0.20566904157501278
fas,-0.06432186296315409,0.0072717050231664365,-8.84549947477729,9.938891493269599e-19,-0.0643206359411408,-0.07857317778654702,-0.05006809409573459
profile2:sex,0.06718777258141623,0.08931777578233681,0.7522329345185402,0.45192081914184945,0.017019425584920825,-0.1580434149484593,0.19208226611830098
profile3:sex,-0.03208742648729289,0.07821343541866875,-0.41025466168992686,0.6816240255411442,-0.009349614136345146,-0.16264794755693587,0.1439487192842456
profile4:sex,0.2953124100071555,0.06256620180274712,4.719999001029165,2.3761887217931763e-6,0.10517711644729262,-0.017452639086091737,0.22780687198067698
