term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.4961029268041803,0.02484993026678015,-19.963956497189045,1.0241296467448302e-87,-0.4961029268041803,-0.5448087901270694,-0.44739706348129116
profile2,-0.2695619848059325,0.1373334844863881,-1.9628278261056598,0.049681673397734494,-0.04392142073365475,-0.31309505032697543,0.22525220885966596
profile3,0.2395005422729184,0.12133312949159451,1.973908884378607,0.0484074828049819,0.0445045128247665,-0.19330842097875875,0.2823174466282917
profile4,-0.044684982694573064,0.09464646781870212,-0.47212520154654225,0.636843190433638,-0.010445587605525412,-0.19595266453018156,0.17506148931913074
age,0.15317735196690152,0.00741414210355415,20.660158630284712,9.840736071609534e-94,0.15316473467039826,0.13863301614743212,0.1676964531933644
sex,0.29450464495191286,0.015373990453027814,19.156031470925754,5.585493527941023e-81,0.1471945498510292,0.11706152856309468,0.17732757113896372
fas,-0.04143400045537649,0.007221080173424182,-5.737922784442484,9.739610990861118e-9,-0.04129227302108908,-0.05544559016100047,-0.027138955881177686
profile2:sex,0.3651322067993482,0.08832113272197659,4.134143160830339,3.5790710641363654e-5,0.0925049287126823,-0.0806044914223918,0.2656143488477564
profile3:sex,0.11642683449596618,0.07737452846259563,1.5047178549495033,0.13241430501714171,0.033932409784177706,-0.11772166600250973,0.18558648557086516
profile4:sex,0.3286999216918496,0.062038971848706916,5.298281256069861,1.182838958938467e-7,0.11680067563588863,-0.0047957091875769214,0.23839706045935416
