term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.31083581354544754,0.023306292441114002,13.336991043547984,1.8913052466677002e-40,0.31083581354544754,0.2651554803608641,0.35651614673003096
profile1,-0.6204399768882426,0.06371544384905103,-9.7376701692314,2.26606245821617e-22,-0.12869852278017205,-0.25358079272431205,-0.0038162528360320275
profile3,-0.3309101879262297,0.06720488620037354,-4.923900725605134,8.533365755464512e-7,-0.06285965684466761,-0.19458123379739978,0.06886192010806454
surveyyear2006,0.020184384490276756,0.020486148634908417,0.9852698450055442,0.32450032302740683,0.008342650903295726,-0.03181020042112477,0.04849550222771622
surveyyear2010,-0.05492858939239558,0.02019193902873663,-2.720322665110204,0.00652597638897554,-0.023588472948463085,-0.06316467344478688,0.01598772754786071
surveyyear2014,0.05412759019049784,0.020836222507352294,2.5977640703058493,0.009388360311270057,0.02202840609604662,-0.01881059001836388,0.06286740221045711
surveyyear2018,-0.025201068269614005,0.02143844929785678,-1.17550798191982,0.2398018565434911,-0.009645741602876972,-0.05166510222667626,0.03237361902092232
age,-0.1241103021242939,0.005986248043232801,-20.732569253389915,9.562957041928713e-95,-0.12494383395259377,-0.13667688011733006,-0.11321078778785748
sex,-0.1716656350977477,0.011637599945486615,-14.750948297060548,4.6998535908396924e-49,-0.08611563758651064,-0.1089253334796644,-0.06330594169335688
fas,0.113885379294677,0.006084742653801848,18.716548221397584,1.1201675717832049e-77,0.11404034399379838,0.10211424839234676,0.12596643959525
profile1:surveyyear2006,-0.2024100408025313,0.08034912558991926,-2.519131842648528,0.0117701553190013,-0.024586227024766705,-0.18207051318100845,0.13289805913147504
profile3:surveyyear2006,-0.07299515397493632,0.08859594679905904,-0.8239107612958158,0.40999750473161545,-0.007515249251171082,-0.1811633049773268,0.16613280647498463
profile1:surveyyear2010,-0.0060825049977889165,0.08283485521963949,-0.07342929472938588,0.9414650477597644,-6.785937560409915e-4,-0.1630349099865344,0.16167772247445242
profile3:surveyyear2010,-0.05268710447570042,0.0899347872744419,-0.585836760973507,0.5579900884824991,-0.005216006283113739,-0.18148818934101987,0.17105617677479237
profile1:surveyyear2014,-0.021466797499915643,0.09770012466250924,-0.2197212907769519,0.8260898744796965,-0.001703794453865461,-0.19319603879238356,0.18978844988465265
profile3:surveyyear2014,-0.31114370574708455,0.1021792699490137,-3.045076617814374,0.002328439429512805,-0.02381814811990633,-0.22408951721997317,0.17645322098016053
profile1:surveyyear2018,-0.06058918327420494,0.14242896133824937,-0.42539931980767515,0.6705489743451487,-0.0027822725033686668,-0.2819430367263374,0.2763784917196001
profile3:surveyyear2018,-0.2529291071628245,0.12655347539166045,-1.9985947156334822,0.045662178212579646,-0.01383936277051007,-0.26188417453816454,0.2342054489971444
