term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5513418429762555,0.05042847238176177,-10.933145838771368,1.6873446609339563e-27,-0.5513418429762555,-0.6501816488445086,-0.45250203710800246
profile1,0.42778218744398544,0.1507428151392621,2.837828038761141,0.004561268776620414,0.12182352104898472,-0.17363239662396898,0.4172794387219384
profile3,0.6606402769363359,0.17044714004274122,3.8759246812277057,1.076415497886251e-4,0.15643544703569626,-0.17764094744807654,0.490511841519469
profile4,1.1323345895749795,0.12367382796781465,9.155814194331096,7.8202045666944e-20,0.411052819137356,0.16865211632043928,0.6534535219542726
age,0.04041259597480234,0.013809957621180369,2.9263374358818766,0.0034459145528934255,0.03979466907809411,0.01272715214058059,0.06686218601560763
sex,0.20068333133592703,0.03152929485408841,6.364980005567881,2.1357404809964564e-10,0.10022859898656868,0.038431181072555394,0.16202601690058197
fas,-0.03593192667976624,0.013261366125617532,-2.7095192410346804,0.006762064398098813,-0.03573293302309051,-0.06172521062930087,-0.00974065541688015
profile1:sex,0.11080714302318473,0.09358386382084895,1.1840411209704587,0.2364555495429878,0.05113735478667053,-0.13228701830219342,0.23456172787553448
profile3:sex,0.04517675157775907,0.1140739628030522,0.3960303514287163,0.692100280458454,0.01590666273029668,-0.20767830436368562,0.23949162982427896
profile4:sex,-0.08206605990781245,0.07458304820141093,-1.1003312667805385,0.2712431187376475,-0.050159646654731854,-0.19634242112949726,0.09602312782003355
