term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.061917001766978126,0.05322056163736325,1.1634037646740951,0.24472381868742146,0.061917001766978126,-0.042395299042253844,0.1662293025762101
profile1,-0.1054345703166498,0.15949705297062078,-0.6610440027131458,0.5086159668722514,-0.030403349578227656,-0.34301757340064437,0.28221087424418906
profile3,-0.28870900266723065,0.180667388453139,-1.5980139256959214,0.11010600191538317,-0.06895912024914289,-0.4230672016172954,0.28514896111900956
profile4,-0.23398360521266726,0.1310240766610022,-1.7858061752883148,0.07419404673966168,-0.08571402805813148,-0.34252121831369575,0.17109316219743276
age,-0.09877040511887142,0.014581360411420028,-6.773744172835552,1.4067160870484863e-11,-0.09865188663385605,-0.1272313530402393,-0.07007242022747279
sex,0.02422109750379311,0.033287692725814805,0.7276292082872269,0.46687624855522547,0.012250743734252069,-0.05299313400834495,0.07749462147684909
fas,0.12230292598832278,0.014028046402005234,8.71845747322594,3.8335244867010216e-18,0.1231177608442817,0.09562278989635145,0.15061273179221196
profile1:sex,-0.1447911878028733,0.09894705943496009,-1.4633197654352477,0.1434456804426025,-0.06770994658569846,-0.2616461830782202,0.1262262899068233
profile3:sex,-0.005232537766290555,0.12138530627633848,-0.04310684651055272,0.9656181628878706,-0.0018502470061544096,-0.23976544730777782,0.236064953295469
profile4:sex,-0.08914556456593385,0.07907365180345384,-1.1273738158383635,0.2596410759877514,-0.054931861404666174,-0.20991621893943568,0.10005249613010335
